"axis","level","seed","method","spearman","pearson","jaccard","score_cor","bool_converged"
"gini",0.6,1481,"CYFER",-0.1621,-0.1827,0.09132,-0.1585,TRUE
"gini",0.6,1481,"CoSPAR",0.1425,0.1381,0.04132,0.07709,TRUE
"gini",0.6,1481,"Lineage-DE",0.1863,0.2504,0,NA,TRUE
"gini",0.6,1482,"CYFER",0.2506,0.1725,0.1486,0.07635,TRUE
"gini",0.6,1482,"CoSPAR",0.04639,0.07493,0,-0.01009,TRUE
"gini",0.6,1482,"Lineage-DE",-0.1974,-0.1508,0,NA,TRUE
"gini",0.6,1483,"CYFER",-0.2703,-0.1102,0.1627,0.03479,TRUE
"gini",0.6,1483,"CoSPAR",0.4625,0.3921,0.1577,0.03208,TRUE
"gini",0.6,1483,"Lineage-DE",-0.0803,0.01086,0,NA,TRUE
"gini",0.6,1484,"CYFER",0.06539,0.3055,0.1949,0.4573,TRUE
"gini",0.6,1484,"CoSPAR",0.04279,0.05502,0.02283,-0.01441,TRUE
"gini",0.6,1484,"Lineage-DE",-0.08701,-0.06783,0,NA,TRUE
"gini",0.6,1485,"CYFER",0.07326,0.1204,0.05825,0.09374,TRUE
"gini",0.6,1485,"CoSPAR",0.1392,0.1621,0.05779,-0.02486,TRUE
"gini",0.6,1485,"Lineage-DE",-0.09774,-0.1155,0,NA,TRUE
"aed",0.55,2481,"CYFER",0.6132,0.4741,0.1487,0.3919,TRUE
"aed",0.55,2481,"CoSPAR",0.177,0.2535,0.08708,0.04922,TRUE
"aed",0.55,2481,"Lineage-DE",0.2287,0.2635,0,NA,TRUE
"aed",0.55,2482,"CYFER",0.2537,0.2076,0.05276,0.2246,TRUE
"aed",0.55,2482,"CoSPAR",0.08217,0.2155,0.06145,0.08275,TRUE
"aed",0.55,2482,"Lineage-DE",0.1755,0.2765,0,NA,TRUE
"aed",0.55,2483,"CYFER",-0.07352,-0.01298,0.04845,0.02624,TRUE
"aed",0.55,2483,"CoSPAR",0.0832,0.1732,0.008547,0.01816,TRUE
"aed",0.55,2483,"Lineage-DE",0.05211,0.08212,0,NA,TRUE
"aed",0.55,2484,"CYFER",-0.2819,-0.3152,0.0941,-0.2846,TRUE
"aed",0.55,2484,"CoSPAR",-0.3702,-0.1484,0.05529,-0.01726,TRUE
"aed",0.55,2484,"Lineage-DE",0.00225,-0.03209,0,NA,TRUE
"aed",0.55,2485,"CYFER",-0.3548,-0.4068,0.1604,-0.3756,TRUE
"aed",0.55,2485,"CoSPAR",0.1947,0.2323,0.08352,-0.01045,TRUE
"aed",0.55,2485,"Lineage-DE",0.14,0.04558,0,NA,TRUE
