"tau_delta","seed","method","spearman","score_cor"
0,2101,"CYFER",0.97,0.95
0,2101,"CoSPAR",0.9,0.72
0,2101,"Lineage-DE",0.93,NA
0,2102,"CYFER",0.98,0.97
0,2102,"CoSPAR",0.66,0.71
0,2102,"Lineage-DE",0.71,NA
0.3,2101,"CYFER",0.98,0.97
0.3,2101,"CoSPAR",0.9,0.72
0.3,2101,"Lineage-DE",0.93,NA
0.3,2102,"CYFER",0.98,0.98
0.3,2102,"CoSPAR",0.63,0.7
0.3,2102,"Lineage-DE",0.72,NA
0.6,2101,"CYFER",0.98,0.96
0.6,2101,"CoSPAR",0.9,0.72
0.6,2101,"Lineage-DE",0.93,NA
0.6,2102,"CYFER",0.98,0.97
0.6,2102,"CoSPAR",0.59,0.68
0.6,2102,"Lineage-DE",0.71,NA
1.2,2101,"CYFER",0.97,0.96
1.2,2101,"CoSPAR",0.89,0.72
1.2,2101,"Lineage-DE",0.93,NA
1.2,2102,"CYFER",0.98,0.98
1.2,2102,"CoSPAR",0.56,0.65
1.2,2102,"Lineage-DE",0.72,NA
