"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","split_half_reliability","split_half_pearson","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","time_generate_sec","time_embed_sec"
1,0.1,1,0.5,0.1,"CYFER",0.9748,0.99,0.7483,486,521,0.9647,0.9597,TRUE,3.031,2101,0.9,0.6872,0.5989,0.474,0.3586,0.1178,0.01672,0.03034,0.1058,0.2583,0.4252,3108,235,0,-0.1878,0.6855,0.8657,0.8938,35,350,650,2160,948,343,646,1.164,4.698
1,0.1,1,0.5,0.1,"CoSPAR",0.9006,0.9289,0.5916,469,521,0.7201,0.632,TRUE,15.31,2101,0.9,0.6872,0.5989,0.474,0.3586,0.1178,0.01672,0.03034,0.1058,0.2583,0.4252,3108,235,0,-0.1878,0.6855,0.8657,0.8938,35,350,650,2160,948,343,646,1.164,4.698
1,0.1,1,0.5,0.1,"Lineage-DE",0.929,0.9519,0.644,615,521,NA,NA,TRUE,1.341,2101,0.9,0.6872,0.5989,0.474,0.3586,0.1178,0.01672,0.03034,0.1058,0.2583,0.4252,3108,235,0,-0.1878,0.6855,0.8657,0.8938,35,350,650,2160,948,343,646,1.164,4.698
1,0.1,2,0.5,0.1,"CYFER",0.9815,0.9954,0.7652,327,342,0.9779,0.9765,TRUE,3.229,2102,0.9,0.6872,0.5207,0.5563,0.4163,0.1146,0.01493,0.02955,0.09083,0.2842,0.3601,2973,254,1,-0.1417,0.5316,0.8482,0.8968,28,280,720,2075,898,279,671,0.9523,4.997
1,0.1,2,0.5,0.1,"CoSPAR",0.5678,0.8298,0.3162,170,342,0.6733,0.5331,TRUE,14.97,2102,0.9,0.6872,0.5207,0.5563,0.4163,0.1146,0.01493,0.02955,0.09083,0.2842,0.3601,2973,254,1,-0.1417,0.5316,0.8482,0.8968,28,280,720,2075,898,279,671,0.9523,4.997
1,0.1,2,0.5,0.1,"Lineage-DE",0.7084,0.9105,0.4163,267,342,NA,NA,TRUE,1.333,2102,0.9,0.6872,0.5207,0.5563,0.4163,0.1146,0.01493,0.02955,0.09083,0.2842,0.3601,2973,254,1,-0.1417,0.5316,0.8482,0.8968,28,280,720,2075,898,279,671,0.9523,4.997
2,0.25,1,0.5,0.25,"CYFER",0.9156,0.9892,0.8718,117,102,0.9753,0.9737,TRUE,3.089,2201,0.75,0.7241,0.5647,0.4832,0.361,0.2627,0.03141,0.0504,0.208,0.6206,1.283,2956,247,0,-0.07208,0.09811,0.8011,0.7633,33,330,670,2001,955,313,610,0.9432,4.67
2,0.25,1,0.5,0.25,"CoSPAR",0.5118,0.8281,0.7008,114,102,0.5834,0.5186,TRUE,64.49,2201,0.75,0.7241,0.5647,0.4832,0.361,0.2627,0.03141,0.0504,0.208,0.6206,1.283,2956,247,0,-0.07208,0.09811,0.8011,0.7633,33,330,670,2001,955,313,610,0.9432,4.67
2,0.25,1,0.5,0.25,"Lineage-DE",0.5343,0.883,0.784,121,102,NA,NA,TRUE,1.73,2201,0.75,0.7241,0.5647,0.4832,0.361,0.2627,0.03141,0.0504,0.208,0.6206,1.283,2956,247,0,-0.07208,0.09811,0.8011,0.7633,33,330,670,2001,955,313,610,0.9432,4.67
2,0.25,2,0.5,0.25,"CYFER",0.9741,0.9949,0.7875,274,239,0.9852,0.9833,TRUE,3.077,2202,0.75,0.7241,0.4571,0.5083,0.383,0.2473,0.03164,0.05873,0.1843,0.5823,0.835,3057,236,1,-0.0925,0.51,0.8762,0.7772,30,300,700,2071,986,282,665,0.9775,4.68
