"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","num_t1_excluded_cospar","time_generate_sec","time_embed_sec"
1,0.1,1,0.5,0.1,"CYFER",0.9673,0.9857,0.7389,579,560,0.9606,0.951,TRUE,5.916,2101,1,0.6191,0.7294,0.4925,0.3686,0.1217,0.05228,0.0671,0.1057,0.234,0.3607,2975,184,0,0.002167,0.8903,29,290,710,1943,1032,290,700,0,0.8944,4.553
1,0.1,1,0.5,0.1,"CoSPAR",0.6666,0.8435,0.2817,218,560,0.7344,0.5897,TRUE,13.45,2101,1,0.6191,0.7294,0.4925,0.3686,0.1217,0.05228,0.0671,0.1057,0.234,0.3607,2975,184,0,0.002167,0.8903,29,290,710,1943,1032,290,700,0,0.8944,4.553
1,0.1,1,0.5,0.1,"Lineage-DE",0.7197,0.8748,0.396,346,560,NA,NA,TRUE,1.366,2101,1,0.6191,0.7294,0.4925,0.3686,0.1217,0.05228,0.0671,0.1057,0.234,0.3607,2975,184,0,0.002167,0.8903,29,290,710,1943,1032,290,700,0,0.8944,4.553
1,0.1,2,0.5,0.1,"CYFER",0.939,0.982,0.7254,310,287,0.9513,0.9401,TRUE,7.447,2102,1,0.6191,0.6752,0.491,0.3697,0.1195,0.05409,0.07305,0.1036,0.2324,0.3069,3047,196,0,-0.03328,0.8923,28,280,720,1941,1106,280,720,0,1.08,4.719
1,0.1,2,0.5,0.1,"CoSPAR",0.72,0.8914,0.4082,158,287,0.7505,0.608,TRUE,12.85,2102,1,0.6191,0.6752,0.491,0.3697,0.1195,0.05409,0.07305,0.1036,0.2324,0.3069,3047,196,0,-0.03328,0.8923,28,280,720,1941,1106,280,720,0,1.08,4.719
1,0.1,2,0.5,0.1,"Lineage-DE",0.7854,0.9235,0.4792,210,287,NA,NA,TRUE,1.376,2102,1,0.6191,0.6752,0.491,0.3697,0.1195,0.05409,0.07305,0.1036,0.2324,0.3069,3047,196,0,-0.03328,0.8923,28,280,720,1941,1106,280,720,0,1.08,4.719
1,0.1,3,0.5,0.1,"CYFER",0.9674,0.9875,0.6689,432,314,0.9467,0.9464,TRUE,5.999,2103,1,0.6191,0.8783,0.4583,0.3458,0.1263,0.05695,0.07359,0.1198,0.2048,0.2656,3075,138,0,0.02406,0.8862,34,340,660,2088,987,340,660,0,1.018,4.768
1,0.1,3,0.5,0.1,"CoSPAR",0.8567,0.9124,0.5383,369,314,0.7666,0.6774,TRUE,12.48,2103,1,0.6191,0.8783,0.4583,0.3458,0.1263,0.05695,0.07359,0.1198,0.2048,0.2656,3075,138,0,0.02406,0.8862,34,340,660,2088,987,340,660,0,1.018,4.768
1,0.1,3,0.5,0.1,"Lineage-DE",0.8932,0.9328,0.5479,494,314,NA,NA,TRUE,1.756,2103,1,0.6191,0.8783,0.4583,0.3458,0.1263,0.05695,0.07359,0.1198,0.2048,0.2656,3075,138,0,0.02406,0.8862,34,340,660,2088,987,340,660,0,1.018,4.768
1,0.1,4,0.5,0.1,"CYFER",0.9532,0.9839,0.6932,406,466,0.934,0.9266,TRUE,6.196,2104,1,0.6191,0.8377,0.4594,0.3446,0.1286,0.05466,0.07268,0.1166,0.2228,0.321,3002,181,0,-0.06423,0.8841,35,350,650,2045,957,350,640,0,0.9868,5.111
