"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","split_half_reliability","split_half_pearson","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","time_generate_sec","time_embed_sec"
1,0.1,1,0.5,0.1,"CYFER",0.9673,0.9857,0.7389,579,560,0.9606,0.951,TRUE,5.711,2101,1,0.6191,0.7294,0.4925,0.3686,0.1217,0.05228,0.0671,0.1057,0.234,0.3607,2975,184,0,0.002167,0.6877,0.8512,0.8903,29,290,710,1943,1032,290,700,0.8734,4.683
1,0.1,1,0.5,0.1,"CoSPAR",0.6666,0.8435,0.2817,218,560,0.7344,0.5897,TRUE,10.65,2101,1,0.6191,0.7294,0.4925,0.3686,0.1217,0.05228,0.0671,0.1057,0.234,0.3607,2975,184,0,0.002167,0.6877,0.8512,0.8903,29,290,710,1943,1032,290,700,0.8734,4.683
1,0.1,1,0.5,0.1,"Lineage-DE",0.7197,0.8748,0.396,346,560,NA,NA,TRUE,1.7,2101,1,0.6191,0.7294,0.4925,0.3686,0.1217,0.05228,0.0671,0.1057,0.234,0.3607,2975,184,0,0.002167,0.6877,0.8512,0.8903,29,290,710,1943,1032,290,700,0.8734,4.683
1,0.1,2,0.5,0.1,"CYFER",0.939,0.982,0.7254,310,287,0.9513,0.9401,TRUE,6.574,2102,1,0.6191,0.6752,0.491,0.3697,0.1195,0.05409,0.07305,0.1036,0.2324,0.3069,3047,196,0,-0.03328,0.5331,0.8245,0.8923,28,280,720,1941,1106,280,720,0.9701,4.88
1,0.1,2,0.5,0.1,"CoSPAR",0.72,0.8914,0.4082,158,287,0.7505,0.608,TRUE,12.06,2102,1,0.6191,0.6752,0.491,0.3697,0.1195,0.05409,0.07305,0.1036,0.2324,0.3069,3047,196,0,-0.03328,0.5331,0.8245,0.8923,28,280,720,1941,1106,280,720,0.9701,4.88
1,0.1,2,0.5,0.1,"Lineage-DE",0.7854,0.9235,0.4792,210,287,NA,NA,TRUE,1.345,2102,1,0.6191,0.6752,0.491,0.3697,0.1195,0.05409,0.07305,0.1036,0.2324,0.3069,3047,196,0,-0.03328,0.5331,0.8245,0.8923,28,280,720,1941,1106,280,720,0.9701,4.88
2,0.25,1,0.5,0.25,"CYFER",0.9655,0.9907,0.7601,383,358,0.9563,0.9536,TRUE,6.163,2201,0.8318,0.6523,0.5862,0.4809,0.3613,0.3057,0.09293,0.1274,0.2897,0.5397,0.6407,3023,160,1,-0.03572,0.5701,0.8564,0.7246,39,390,610,2248,775,373,567,0.944,4.972
2,0.25,1,0.5,0.25,"CoSPAR",0.7643,0.9082,0.42,237,358,0.6556,0.6357,TRUE,50.43,2201,0.8318,0.6523,0.5862,0.4809,0.3613,0.3057,0.09293,0.1274,0.2897,0.5397,0.6407,3023,160,1,-0.03572,0.5701,0.8564,0.7246,39,390,610,2248,775,373,567,0.944,4.972
2,0.25,1,0.5,0.25,"Lineage-DE",0.8531,0.9457,0.5425,313,358,NA,NA,TRUE,1.381,2201,0.8318,0.6523,0.5862,0.4809,0.3613,0.3057,0.09293,0.1274,0.2897,0.5397,0.6407,3023,160,1,-0.03572,0.5701,0.8564,0.7246,39,390,610,2248,775,373,567,0.944,4.972
2,0.25,2,0.5,0.25,"CYFER",0.9728,0.9954,0.85,169,164,0.9746,0.974,TRUE,6.16,2202,0.8318,0.6523,0.5917,0.4942,0.3709,0.2688,0.06668,0.1284,0.2284,0.5003,0.8232,3007,154,0,0.06615,0.4501,0.8674,0.7579,39,390,610,2266,741,385,588,0.9148,4.632
2,0.25,2,0.5,0.25,"CoSPAR",0.7575,0.937,0.5926,137,164,0.713,0.6734,TRUE,21.53,2202,0.8318,0.6523,0.5917,0.4942,0.3709,0.2688,0.06668,0.1284,0.2284,0.5003,0.8232,3007,154,0,0.06615,0.4501,0.8674,0.7579,39,390,610,2266,741,385,588,0.9148,4.632
2,0.25,2,0.5,0.25,"Lineage-DE",0.8231,0.9557,0.6324,138,164,NA,NA,TRUE,1.575,2202,0.8318,0.6523,0.5917,0.4942,0.3709,0.2688,0.06668,0.1284,0.2284,0.5003,0.8232,3007,154,0,0.06615,0.4501,0.8674,0.7579,39,390,610,2266,741,385,588,0.9148,4.632
3,0.4,1,0.5,0.4,"CYFER",0.9657,0.9949,0.7268,169,147,0.9783,0.9787,TRUE,7.02,2301,0.6524,0.8038,0.2849,0.5801,0.4365,0.4106,0.09008,0.1408,0.3612,0.8454,1.121,3038,307,2,0.2158,0.3814,0.8677,0.6301,27,270,730,2138,900,257,648,1.075,5.115
3,0.4,1,0.5,0.4,"CoSPAR",0.6367,0.8226,0.4741,195,147,0.5576,0.4444,TRUE,36.55,2301,0.6524,0.8038,0.2849,0.5801,0.4365,0.4106,0.09008,0.1408,0.3612,0.8454,1.121,3038,307,2,0.2158,0.3814,0.8677,0.6301,27,270,730,2138,900,257,648,1.075,5.115
3,0.4,1,0.5,0.4,"Lineage-DE",0.773,0.912,0.4574,264,147,NA,NA,TRUE,1.336,2301,0.6524,0.8038,0.2849,0.5801,0.4365,0.4106,0.09008,0.1408,0.3612,0.8454,1.121,3038,307,2,0.2158,0.3814,0.8677,0.6301,27,270,730,2138,900,257,648,1.075,5.115
3,0.4,2,0.5,0.4,"CYFER",0.9476,0.9924,0.7974,139,136,0.9759,0.9744,TRUE,7.141,2302,0.6524,0.8038,0.4993,0.5113,0.3837,0.414,0.0668,0.1651,0.3779,0.8084,1.311,3007,360,0,-0.03274,0.4346,0.8775,0.6271,29,290,710,2008,999,281,659,0.9055,4.765
