"level_idx","level","method","target_gini","target_aed","num_replicates","num_converged","spearman_mean","spearman_sd","pearson_mean","pearson_sd","jaccard_mean","jaccard_sd","score_cor_mean","score_cor_sd","score_spearman_mean","score_spearman_sd","gini_t2_mean","gini_pooled_mean","aed_mean_mean","aed_q05_mean","aed_q95_mean","t2_total_mean","t2_max_clone_mean","t2_num_zero_mean","spearman_aed_t2size_mean","split_half_reliability_mean","split_half_pearson_mean","pca_heritability_mean","num_high_clones_mean","runtime_sec_mean"
1,0.1,"CoSPAR",0.5,0.1,2,2,0.7342,0.2353,0.8793,0.07008,0.4539,0.1948,0.6967,0.03308,0.5826,0.06996,0.5152,0.3875,0.1162,0.02995,0.2713,3040,244.5,0.5,-0.1648,0.6086,0.8569,0.8953,31.5,15.14
1,0.1,"CYFER",0.5,0.1,2,2,0.9781,0.004686,0.9927,0.003792,0.7567,0.01196,0.9713,0.009309,0.9681,0.01191,0.5152,0.3875,0.1162,0.02995,0.2713,3040,244.5,0.5,-0.1648,0.6086,0.8569,0.8953,31.5,3.13
1,0.1,"Lineage-DE",0.5,0.1,2,2,0.8187,0.156,0.9312,0.02929,0.5301,0.161,NA,NA,NA,NA,0.5152,0.3875,0.1162,0.02995,0.2713,3040,244.5,0.5,-0.1648,0.6086,0.8569,0.8953,31.5,1.337
2,0.25,"CoSPAR",0.5,0.25,2,2,0.5685,0.08025,0.8468,0.02638,0.5508,0.2122,0.6055,0.03125,0.5162,0.003388,0.4957,0.372,0.255,0.05457,0.6015,3006,241.5,0.5,-0.08229,0.304,0.8387,0.7702,31.5,46.48
2,0.25,"CYFER",0.5,0.25,2,2,0.9449,0.04138,0.9921,0.003997,0.8296,0.05964,0.9802,0.007028,0.9785,0.006755,0.4957,0.372,0.255,0.05457,0.6015,3006,241.5,0.5,-0.08229,0.304,0.8387,0.7702,31.5,3.083
2,0.25,"Lineage-DE",0.5,0.25,2,2,0.633,0.1396,0.8987,0.02227,0.6067,0.2507,NA,NA,NA,NA,0.4957,0.372,0.255,0.05457,0.6015,3006,241.5,0.5,-0.08229,0.304,0.8387,0.7702,31.5,1.613
3,0.4,"CoSPAR",0.5,0.4,2,2,0.6293,0.0935,0.7971,0.0337,0.3976,0.04435,0.5401,0.02795,0.4332,0.02411,0.5171,0.3876,0.4131,0.09808,0.9961,2995,217.5,1,0.0841,0.426,0.8361,0.6279,28,37.75
3,0.4,"CYFER",0.5,0.4,2,2,0.9425,0.01128,0.9872,1.396e-05,0.6485,0.0397,0.9788,0.0005126,0.9767,0.001904,0.5171,0.3876,0.4131,0.09808,0.9961,2995,217.5,1,0.0841,0.426,0.8361,0.6279,28,3.454
3,0.4,"Lineage-DE",0.5,0.4,2,2,0.6767,0.05618,0.8763,0.03602,0.431,0.08556,NA,NA,NA,NA,0.5171,0.3876,0.4131,0.09808,0.9961,2995,217.5,1,0.0841,0.426,0.8361,0.6279,28,1.36
4,0.55,"CoSPAR",0.5,0.55,2,2,0.6342,0.06277,0.7743,0.009343,0.3753,0.1047,0.4937,0.01295,0.429,0.006959,0.5045,0.3792,0.521,0.09891,1.209,3031,187.5,0.5,-0.03263,0.3661,0.8715,0.5306,33,44.3
4,0.55,"CYFER",0.5,0.55,2,2,0.9582,0.005544,0.9928,2.872e-05,0.6639,0.05944,0.9802,0.0009599,0.9783,0.0001258,0.5045,0.3792,0.521,0.09891,1.209,3031,187.5,0.5,-0.03263,0.3661,0.8715,0.5306,33,3.383
4,0.55,"Lineage-DE",0.5,0.55,2,2,0.6676,0.05715,0.8398,0.01378,0.4184,0.1737,NA,NA,NA,NA,0.5045,0.3792,0.521,0.09891,1.209,3031,187.5,0.5,-0.03263,0.3661,0.8715,0.5306,33,1.33
5,0.7,"CoSPAR",0.5,0.7,2,2,0.3036,0.1223,0.5505,0.08308,0.2511,0.00278,0.3918,0.01499,0.286,0.06017,0.5244,0.3928,0.6801,0.1564,1.451,2986,283.5,1,-0.0691,0.2894,0.8722,0.3873,28.5,51.6
5,0.7,"CYFER",0.5,0.7,2,2,0.7641,0.1287,0.6891,0.4155,0.2096,0.1857,0.6115,0.4539,0.5986,0.467,0.5244,0.3928,0.6801,0.1564,1.451,2986,283.5,1,-0.0691,0.2894,0.8722,0.3873,28.5,4.569
5,0.7,"Lineage-DE",0.5,0.7,2,2,0.4807,0.03856,0.8056,0.004218,0.6417,0.1421,NA,NA,NA,NA,0.5244,0.3928,0.6801,0.1564,1.451,2986,283.5,1,-0.0691,0.2894,0.8722,0.3873,28.5,1.585
6,0.85,"CoSPAR",0.5,0.85,2,2,0.3226,0.002548,0.5152,0.1753,0.2661,0.2022,0.3031,0.0617,0.2348,0.0745,0.5242,0.3945,0.7976,0.186,1.636,3040,302,0,-0.1022,0.07711,0.8524,0.2815,29,54.54
