"level_idx","level","method","target_gini","target_aed","num_replicates","num_converged","spearman_mean","spearman_sd","pearson_mean","pearson_sd","jaccard_mean","jaccard_sd","score_cor_mean","score_cor_sd","score_spearman_mean","score_spearman_sd","gini_t2_mean","gini_pooled_mean","aed_mean_mean","aed_q05_mean","aed_q95_mean","t2_total_mean","t2_max_clone_mean","t2_num_zero_mean","spearman_aed_t2size_mean","pca_heritability_mean","num_high_clones_mean","num_t1_excluded_cospar_mean","runtime_sec_mean"
1,0.1,"CoSPAR",0.5,0.1,20,20,0.7389,0.0866,0.9013,0.02635,0.465,0.1064,0.7485,0.02794,0.6414,0.03599,0.4828,0.3618,0.1243,0.06968,0.2188,2988,205.8,0.35,0.003388,0.888,32.05,3.5,12.08
1,0.1,"CYFER",0.5,0.1,20,20,0.9547,0.01981,0.9876,0.004959,0.7399,0.05795,0.9553,0.01674,0.9485,0.01685,0.4828,0.3618,0.1243,0.06968,0.2188,2988,205.8,0.35,0.003388,0.888,32.05,3.5,6.574
1,0.1,"Lineage-DE",0.5,0.1,20,20,0.8058,0.07155,0.9325,0.0224,0.5293,0.09191,NA,NA,NA,NA,0.4828,0.3618,0.1243,0.06968,0.2188,2988,205.8,0.35,0.003388,0.888,32.05,3.5,1.439
2,0.25,"CoSPAR",0.5,0.25,20,20,0.7272,0.08175,0.8877,0.03393,0.4891,0.05845,0.6828,0.03037,0.5982,0.05832,0.5,0.3751,0.2651,0.1186,0.5037,3006,239.9,0.5,0.01483,0.7612,33.15,5,21.7
2,0.25,"CYFER",0.5,0.25,20,20,0.953,0.02004,0.9895,0.00466,0.7425,0.06338,0.9641,0.007171,0.9607,0.009557,0.5,0.3751,0.2651,0.1186,0.5037,3006,239.9,0.5,0.01483,0.7612,33.15,5,6.794
2,0.25,"Lineage-DE",0.5,0.25,20,20,0.7814,0.07853,0.9208,0.02745,0.5103,0.07955,NA,NA,NA,NA,0.5,0.3751,0.2651,0.1186,0.5037,3006,239.9,0.5,0.01483,0.7612,33.15,5,1.353
3,0.4,"CoSPAR",0.5,0.4,20,20,0.6689,0.08618,0.8545,0.03603,0.513,0.1186,0.5892,0.02323,0.5076,0.02825,0.5409,0.4057,0.3931,0.1339,0.8122,3002,283.6,1.2,0.0116,0.6458,30.5,12,34.66
3,0.4,"CYFER",0.5,0.4,20,20,0.9539,0.01766,0.9921,0.002709,0.7171,0.05664,0.9737,0.005104,0.9721,0.005663,0.5409,0.4057,0.3931,0.1339,0.8122,3002,283.6,1.2,0.0116,0.6458,30.5,12,6.876
3,0.4,"Lineage-DE",0.5,0.4,20,20,0.7268,0.08246,0.899,0.02663,0.4911,0.103,NA,NA,NA,NA,0.5409,0.4057,0.3931,0.1339,0.8122,3002,283.6,1.2,0.0116,0.6458,30.5,12,1.348
4,0.55,"CoSPAR",0.5,0.55,20,20,0.5828,0.0958,0.7892,0.04829,0.4587,0.1216,0.4918,0.03337,0.43,0.04045,0.4871,0.3654,0.5695,0.1766,1.211,3002,193.8,0.5,-0.00695,0.4869,32.55,5,42.4
4,0.55,"CYFER",0.5,0.55,20,20,0.924,0.03139,0.9891,0.004867,0.7489,0.1193,0.974,0.005387,0.9723,0.006119,0.4871,0.3654,0.5695,0.1766,1.211,3002,193.8,0.5,-0.00695,0.4869,32.55,5,6.344
4,0.55,"Lineage-DE",0.5,0.55,20,20,0.6599,0.09789,0.865,0.04037,0.542,0.1511,NA,NA,NA,NA,0.4871,0.3654,0.5695,0.1766,1.211,3002,193.8,0.5,-0.00695,0.4869,32.55,5,1.353
5,0.7,"CoSPAR",0.5,0.7,20,20,0.4843,0.1259,0.7134,0.06488,0.3745,0.155,0.4196,0.03068,0.3605,0.02885,0.4961,0.3722,0.6899,0.1855,1.438,3005,201.2,0.7,0.005933,0.3785,32.55,7,45.82
5,0.7,"CYFER",0.5,0.7,20,20,0.9032,0.03759,0.9879,0.004712,0.7107,0.1407,0.9724,0.006645,0.9718,0.007028,0.4961,0.3722,0.6899,0.1855,1.438,3005,201.2,0.7,0.005933,0.3785,32.55,7,6.151
