"level_idx","level","method","target_gini","target_aed","num_replicates","num_converged","spearman_mean","spearman_sd","pearson_mean","pearson_sd","jaccard_mean","jaccard_sd","score_cor_mean","score_cor_sd","score_spearman_mean","score_spearman_sd","gini_t2_mean","gini_pooled_mean","aed_mean_mean","aed_q05_mean","aed_q95_mean","t2_total_mean","t2_max_clone_mean","t2_num_zero_mean","spearman_aed_t2size_mean","split_half_reliability_mean","split_half_pearson_mean","pca_heritability_mean","num_high_clones_mean","runtime_sec_mean"
1,0.1,"CoSPAR",0.5,0.1,2,2,0.6933,0.03774,0.8674,0.03383,0.345,0.08946,0.7424,0.01137,0.5988,0.01296,0.4918,0.3691,0.1206,0.07008,0.2332,3011,190,0,-0.01555,0.6104,0.8378,0.8913,28.5,11.36
1,0.1,"CYFER",0.5,0.1,2,2,0.9532,0.01997,0.9839,0.002564,0.7322,0.009544,0.9559,0.006564,0.9456,0.007666,0.4918,0.3691,0.1206,0.07008,0.2332,3011,190,0,-0.01555,0.6104,0.8378,0.8913,28.5,6.143
1,0.1,"Lineage-DE",0.5,0.1,2,2,0.7526,0.04645,0.8991,0.03448,0.4376,0.05881,NA,NA,NA,NA,0.4918,0.3691,0.1206,0.07008,0.2332,3011,190,0,-0.01555,0.6104,0.8378,0.8913,28.5,1.523
2,0.25,"CoSPAR",0.5,0.25,2,2,0.7609,0.004774,0.9226,0.02033,0.5063,0.122,0.6843,0.0406,0.6545,0.02668,0.4876,0.3661,0.2872,0.1279,0.52,3015,157,0.5,0.01522,0.5101,0.8619,0.7412,39,35.98
2,0.25,"CYFER",0.5,0.25,2,2,0.9692,0.005122,0.993,0.00337,0.805,0.06357,0.9654,0.01293,0.9638,0.0144,0.4876,0.3661,0.2872,0.1279,0.52,3015,157,0.5,0.01522,0.5101,0.8619,0.7412,39,6.162
2,0.25,"Lineage-DE",0.5,0.25,2,2,0.8381,0.02122,0.9507,0.007069,0.5875,0.06357,NA,NA,NA,NA,0.4876,0.3661,0.2872,0.1279,0.52,3015,157,0.5,0.01522,0.5101,0.8619,0.7412,39,1.478
3,0.4,"CoSPAR",0.5,0.4,2,2,0.6998,0.08923,0.845,0.03161,0.4807,0.009222,0.5591,0.002121,0.4709,0.03746,0.5457,0.4101,0.4123,0.153,0.8269,3022,333.5,1,0.09153,0.408,0.8726,0.6286,28,35.82
3,0.4,"CYFER",0.5,0.4,2,2,0.9566,0.0128,0.9937,0.001802,0.7621,0.04993,0.9771,0.001741,0.9766,0.003022,0.5457,0.4101,0.4123,0.153,0.8269,3022,333.5,1,0.09153,0.408,0.8726,0.6286,28,7.08
3,0.4,"Lineage-DE",0.5,0.4,2,2,0.777,0.005653,0.915,0.004205,0.5173,0.08462,NA,NA,NA,NA,0.5457,0.4101,0.4123,0.153,0.8269,3022,333.5,1,0.09153,0.408,0.8726,0.6286,28,1.356
4,0.55,"CoSPAR",0.5,0.55,2,2,0.4675,0.1475,0.7981,0.04996,0.5751,0.1746,0.4805,0.0227,0.4475,0.01759,0.472,0.355,0.5683,0.1798,1.321,3034,216,0,-0.06727,0.122,0.8446,0.4881,34.5,40.23
4,0.55,"CYFER",0.5,0.55,2,2,0.8785,0.01148,0.9888,0.003308,0.9336,0.05235,0.9743,0.0006602,0.97,0.0001012,0.472,0.355,0.5683,0.1798,1.321,3034,216,0,-0.06727,0.122,0.8446,0.4881,34.5,6.578
4,0.55,"Lineage-DE",0.5,0.55,2,2,0.5068,0.04535,0.8753,0.02427,0.7399,0.1405,NA,NA,NA,NA,0.472,0.355,0.5683,0.1798,1.321,3034,216,0,-0.06727,0.122,0.8446,0.4881,34.5,1.318
5,0.7,"CoSPAR",0.5,0.7,2,2,0.3432,0.01004,0.6812,0.102,0.4107,0.2262,0.4075,0.00163,0.3446,0.02225,0.4486,0.3375,0.7084,0.1704,1.501,3038,137,0.5,-0.03999,0.2065,0.8566,0.3618,33.5,45.75
