"level_idx","level","method","target_gini","target_aed","num_replicates","num_converged","spearman_mean","spearman_sd","pearson_mean","pearson_sd","jaccard_mean","jaccard_sd","score_cor_mean","score_cor_sd","score_spearman_mean","score_spearman_sd","gini_t2_mean","gini_pooled_mean","aed_mean_mean","aed_q05_mean","aed_q95_mean","t2_total_mean","t2_max_clone_mean","t2_num_zero_mean","spearman_aed_t2size_mean","pca_heritability_mean","num_high_clones_mean","num_t1_excluded_cospar_mean","runtime_sec_mean"
1,0.1,"CoSPAR",0.5,0.1,2,2,0.6933,0.03774,0.8674,0.03383,0.345,0.08946,0.7424,0.01137,0.5988,0.01296,0.4918,0.3691,0.1206,0.07008,0.2332,3011,190,0,-0.01555,0.8913,28.5,0,13.15
1,0.1,"CYFER",0.5,0.1,2,2,0.9532,0.01997,0.9839,0.002564,0.7322,0.009544,0.9559,0.006564,0.9456,0.007666,0.4918,0.3691,0.1206,0.07008,0.2332,3011,190,0,-0.01555,0.8913,28.5,0,6.812
1,0.1,"Lineage-DE",0.5,0.1,2,2,0.7526,0.04645,0.8991,0.03448,0.4376,0.05881,NA,NA,NA,NA,0.4918,0.3691,0.1206,0.07008,0.2332,3011,190,0,-0.01555,0.8913,28.5,0,1.414
2,0.25,"CoSPAR",0.5,0.25,2,2,0.7612,0.005159,0.9241,0.01823,0.509,0.1182,0.6992,0.01951,0.6606,0.01817,0.4876,0.3661,0.2872,0.1279,0.52,3015,157,0.5,0.01522,0.7412,39,5,25.02
2,0.25,"CYFER",0.5,0.25,2,2,0.9692,0.005122,0.993,0.00337,0.805,0.06357,0.9654,0.01293,0.9638,0.0144,0.4876,0.3661,0.2872,0.1279,0.52,3015,157,0.5,0.01522,0.7412,39,5,6.063
2,0.25,"Lineage-DE",0.5,0.25,2,2,0.8381,0.02122,0.9507,0.007069,0.5875,0.06357,NA,NA,NA,NA,0.4876,0.3661,0.2872,0.1279,0.52,3015,157,0.5,0.01522,0.7412,39,5,1.392
3,0.4,"CoSPAR",0.5,0.4,2,2,0.7192,0.06187,0.8578,0.01352,0.4925,0.007494,0.5825,0.03091,0.4867,0.01509,0.5457,0.4101,0.4123,0.153,0.8269,3022,333.5,1,0.09153,0.6286,28,10,36.91
3,0.4,"CYFER",0.5,0.4,2,2,0.9566,0.0128,0.9937,0.001802,0.7621,0.04993,0.9771,0.001741,0.9766,0.003022,0.5457,0.4101,0.4123,0.153,0.8269,3022,333.5,1,0.09153,0.6286,28,10,7.466
3,0.4,"Lineage-DE",0.5,0.4,2,2,0.777,0.005653,0.915,0.004205,0.5173,0.08462,NA,NA,NA,NA,0.5457,0.4101,0.4123,0.153,0.8269,3022,333.5,1,0.09153,0.6286,28,10,1.417
4,0.55,"CoSPAR",0.5,0.55,2,2,0.4675,0.1475,0.7981,0.04996,0.5751,0.1746,0.4805,0.0227,0.4475,0.01759,0.472,0.355,0.5683,0.1798,1.321,3034,216,0,-0.06727,0.4881,34.5,0,41.86
4,0.55,"CYFER",0.5,0.55,2,2,0.8785,0.01148,0.9888,0.003308,0.9336,0.05235,0.9743,0.0006602,0.97,0.0001012,0.472,0.355,0.5683,0.1798,1.321,3034,216,0,-0.06727,0.4881,34.5,0,6.702
4,0.55,"Lineage-DE",0.5,0.55,2,2,0.5068,0.04535,0.8753,0.02427,0.7399,0.1405,NA,NA,NA,NA,0.472,0.355,0.5683,0.1798,1.321,3034,216,0,-0.06727,0.4881,34.5,0,1.346
5,0.7,"CoSPAR",0.5,0.7,2,2,0.3498,0.01936,0.6854,0.108,0.4211,0.2409,0.4127,0.009002,0.3487,0.02804,0.4486,0.3375,0.7084,0.1704,1.501,3038,137,0.5,-0.03999,0.3618,33.5,5,46.19
5,0.7,"CYFER",0.5,0.7,2,2,0.9291,0.006507,0.9927,0.001876,0.853,0.0386,0.9784,0.002947,0.9793,0.002887,0.4486,0.3375,0.7084,0.1704,1.501,3038,137,0.5,-0.03999,0.3618,33.5,5,5.688
5,0.7,"Lineage-DE",0.5,0.7,2,2,0.5588,0.1003,0.8179,0.0353,0.5793,0.0122,NA,NA,NA,NA,0.4486,0.3375,0.7084,0.1704,1.501,3038,137,0.5,-0.03999,0.3618,33.5,5,1.313
6,0.85,"CoSPAR",0.5,0.85,2,2,0.4771,0.1176,0.4432,0.03455,0.1574,0.0408,0.2441,0.003576,0.1858,0.01313,0.5282,0.395,0.8456,0.2425,1.615,2968,249.5,1,-0.1021,0.2382,28,10,47.51
6,0.85,"CYFER",0.5,0.85,2,2,0.7924,0.09353,0.971,0.01493,0.4855,0.1634,0.9555,0.003476,0.9536,0.006542,0.5282,0.395,0.8456,0.2425,1.615,2968,249.5,1,-0.1021,0.2382,28,10,7.113
6,0.85,"Lineage-DE",0.5,0.85,2,2,0.5378,0.08497,0.6962,0.02656,0.533,0.1198,NA,NA,NA,NA,0.5282,0.395,0.8456,0.2425,1.615,2968,249.5,1,-0.1021,0.2382,28,10,1.293
7,1,"CoSPAR",0.5,1,2,2,-0.03394,0.1056,0.1776,0.08327,0.0753,0.0239,0.1388,0.02007,0.09498,0.04741,0.5021,0.3785,0.9358,0.2734,1.706,3061,275,1,-0.004075,0.1569,29.5,10,48.95
7,1,"CYFER",0.5,1,2,2,0.8233,0.01285,0.9804,0.0001895,0.4677,0.1467,0.9569,0.008349,0.9604,0.008685,0.5021,0.3785,0.9358,0.2734,1.706,3061,275,1,-0.004075,0.1569,29.5,10,7.722
7,1,"Lineage-DE",0.5,1,2,2,0.2318,0.02023,0.4605,0.01249,0.004854,0.006865,NA,NA,NA,NA,0.5021,0.3785,0.9358,0.2734,1.706,3061,275,1,-0.004075,0.1569,29.5,10,1.431
