"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","split_half_reliability","split_half_pearson","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","time_generate_sec","time_embed_sec"
1,0.2,1,0.2,0.4,"CYFER",0.5256,0.515,0.0855,617,94,0.3894,0.3905,TRUE,2.684,1101,0.6,0.2548,1.079,0.2076,0.1563,0.5442,0.1723,0.2307,0.4723,1.068,2.096,3043,77,0,0.08415,0.2515,0.6051,0.5097,48,480,520,1906,1137,448,499,1.146,4.682
1,0.2,1,0.2,0.4,"CoSPAR",0.6302,0.7462,0.5217,81,94,0.5295,0.5041,TRUE,21.36,1101,0.6,0.2548,1.079,0.2076,0.1563,0.5442,0.1723,0.2307,0.4723,1.068,2.096,3043,77,0,0.08415,0.2515,0.6051,0.5097,48,480,520,1906,1137,448,499,1.146,4.682
1,0.2,1,0.2,0.4,"Lineage-DE",0.6714,0.781,0.5564,113,94,NA,NA,TRUE,1.392,1101,0.6,0.2548,1.079,0.2076,0.1563,0.5442,0.1723,0.2307,0.4723,1.068,2.096,3043,77,0,0.08415,0.2515,0.6051,0.5097,48,480,520,1906,1137,448,499,1.146,4.682
1,0.2,2,0.2,0.4,"CYFER",0.3641,0.3379,0.05401,626,96,0.2428,0.2309,TRUE,3.158,1102,0.6,0.2548,1.103,0.1994,0.1499,0.5297,0.134,0.2152,0.4783,1.06,1.585,3022,68,0,0.05827,0.1736,0.5562,0.5228,46,460,540,1821,1201,410,520,0.9538,4.738
1,0.2,2,0.2,0.4,"CoSPAR",0.5847,0.7006,0.439,81,96,0.5335,0.4898,TRUE,20.59,1102,0.6,0.2548,1.103,0.1994,0.1499,0.5297,0.134,0.2152,0.4783,1.06,1.585,3022,68,0,0.05827,0.1736,0.5562,0.5228,46,460,540,1821,1201,410,520,0.9538,4.738
1,0.2,2,0.2,0.4,"Lineage-DE",0.6293,0.752,0.5351,79,96,NA,NA,TRUE,1.421,1102,0.6,0.2548,1.103,0.1994,0.1499,0.5297,0.134,0.2152,0.4783,1.06,1.585,3022,68,0,0.05827,0.1736,0.5562,0.5228,46,460,540,1821,1201,410,520,0.9538,4.738
2,0.3,1,0.3,0.4,"CYFER",0.6901,0.5886,0.1068,913,134,0.3965,0.3896,TRUE,2.937,1201,0.6,0.4295,0.9161,0.2933,0.2203,0.4377,0.06241,0.121,0.3821,0.926,1.422,3017,95,0,-0.01016,0.3082,0.742,0.6057,36,360,640,1705,1312,326,588,1.136,4.806
2,0.3,1,0.3,0.4,"CoSPAR",0.6825,0.803,0.5054,143,134,0.5419,0.488,TRUE,26.9,1201,0.6,0.4295,0.9161,0.2933,0.2203,0.4377,0.06241,0.121,0.3821,0.926,1.422,3017,95,0,-0.01016,0.3082,0.742,0.6057,36,360,640,1705,1312,326,588,1.136,4.806
2,0.3,1,0.3,0.4,"Lineage-DE",0.7596,0.8811,0.5914,162,134,NA,NA,TRUE,1.335,1201,0.6,0.4295,0.9161,0.2933,0.2203,0.4377,0.06241,0.121,0.3821,0.926,1.422,3017,95,0,-0.01016,0.3082,0.742,0.6057,36,360,640,1705,1312,326,588,1.136,4.806
2,0.3,2,0.3,0.4,"CYFER",0.5977,0.7642,0.2121,451,109,0.5802,0.5659,TRUE,2.884,1202,0.6,0.4295,0.8901,0.3266,0.244,0.4667,0.05862,0.1204,0.4212,1.019,1.543,2953,106,0,-0.04294,0.2187,0.7264,0.5796,33,330,670,1679,1274,284,608,0.933,4.685
2,0.3,2,0.3,0.4,"CoSPAR",0.5837,0.7965,0.6639,94,109,0.5751,0.5038,TRUE,28.83,1202,0.6,0.4295,0.8901,0.3266,0.244,0.4667,0.05862,0.1204,0.4212,1.019,1.543,2953,106,0,-0.04294,0.2187,0.7264,0.5796,33,330,670,1679,1274,284,608,0.933,4.685
