"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","split_half_reliability","split_half_pearson","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","time_generate_sec","time_embed_sec"
1,0.2,1,0.2,0.4,"CYFER",0.7594,0.8755,0.5246,173,106,0.7694,0.7512,TRUE,5.308,1101,1,0.2068,1.049,0.2125,0.1581,0.5485,0.2742,0.3277,0.4914,0.9659,1.344,2907,63,0,-0.008102,0.2267,0.5282,0.5058,41,410,590,1634,1273,405,589,0.9047,4.569
1,0.2,1,0.2,0.4,"CoSPAR",0.6901,0.8177,0.5664,71,106,0.6791,0.6428,TRUE,17.27,1101,1,0.2068,1.049,0.2125,0.1581,0.5485,0.2742,0.3277,0.4914,0.9659,1.344,2907,63,0,-0.008102,0.2267,0.5282,0.5058,41,410,590,1634,1273,405,589,0.9047,4.569
1,0.2,1,0.2,0.4,"Lineage-DE",0.767,0.8758,0.6435,83,106,NA,NA,TRUE,1.366,1101,1,0.2068,1.049,0.2125,0.1581,0.5485,0.2742,0.3277,0.4914,0.9659,1.344,2907,63,0,-0.008102,0.2267,0.5282,0.5058,41,410,590,1634,1273,405,589,0.9047,4.569
1,0.2,2,0.2,0.4,"CYFER",0.7412,0.8402,0.42,191,93,0.7141,0.7027,TRUE,4.994,1102,1,0.2068,1.023,0.2174,0.1642,0.5428,0.2822,0.3146,0.5244,0.8765,1.303,3087,79,0,-0.06792,0.2111,0.504,0.511,45,450,550,1857,1230,446,549,0.939,4.862
1,0.2,2,0.2,0.4,"CoSPAR",0.6579,0.7661,0.4655,77,93,0.6508,0.6068,TRUE,18.68,1102,1,0.2068,1.023,0.2174,0.1642,0.5428,0.2822,0.3146,0.5244,0.8765,1.303,3087,79,0,-0.06792,0.2111,0.504,0.511,45,450,550,1857,1230,446,549,0.939,4.862
1,0.2,2,0.2,0.4,"Lineage-DE",0.6875,0.7984,0.479,83,93,NA,NA,TRUE,1.38,1102,1,0.2068,1.023,0.2174,0.1642,0.5428,0.2822,0.3146,0.5244,0.8765,1.303,3087,79,0,-0.06792,0.2111,0.504,0.511,45,450,550,1857,1230,446,549,0.939,4.862
2,0.3,1,0.3,0.4,"CYFER",0.8932,0.9673,0.7078,143,120,0.9062,0.907,TRUE,5.16,1201,0.7847,0.3869,0.8912,0.2906,0.2179,0.4188,0.1792,0.2129,0.3757,0.7612,1.14,2998,90,0,0.1457,0.3092,0.7195,0.6227,46,460,540,2012,986,437,520,0.9837,5.407
2,0.3,1,0.3,0.4,"CoSPAR",0.7377,0.863,0.5935,127,120,0.6402,0.6166,TRUE,20.11,1201,0.7847,0.3869,0.8912,0.2906,0.2179,0.4188,0.1792,0.2129,0.3757,0.7612,1.14,2998,90,0,0.1457,0.3092,0.7195,0.6227,46,460,540,2012,986,437,520,0.9837,5.407
2,0.3,1,0.3,0.4,"Lineage-DE",0.7612,0.8835,0.5799,147,120,NA,NA,TRUE,1.459,1201,0.7847,0.3869,0.8912,0.2906,0.2179,0.4188,0.1792,0.2129,0.3757,0.7612,1.14,2998,90,0,0.1457,0.3092,0.7195,0.6227,46,460,540,2012,986,437,520,0.9837,5.407
2,0.3,2,0.3,0.4,"CYFER",0.8642,0.9663,0.7795,120,106,0.9167,0.9167,TRUE,5.532,1202,0.7847,0.3869,0.9209,0.2962,0.2221,0.4351,0.1937,0.2294,0.4083,0.7978,0.8408,2998,82,0,-0.002407,0.2155,0.7019,0.608,41,410,590,1876,1122,394,578,0.9124,4.652
2,0.3,2,0.3,0.4,"CoSPAR",0.6371,0.8368,0.6562,106,106,0.6657,0.6048,TRUE,19.29,1202,0.7847,0.3869,0.9209,0.2962,0.2221,0.4351,0.1937,0.2294,0.4083,0.7978,0.8408,2998,82,0,-0.002407,0.2155,0.7019,0.608,41,410,590,1876,1122,394,578,0.9124,4.652
2,0.3,2,0.3,0.4,"Lineage-DE",0.6942,0.8689,0.65,125,106,NA,NA,TRUE,1.419,1202,0.7847,0.3869,0.9209,0.2962,0.2221,0.4351,0.1937,0.2294,0.4083,0.7978,0.8408,2998,82,0,-0.002407,0.2155,0.7019,0.608,41,410,590,1876,1122,394,578,0.9124,4.652
3,0.4,1,0.4,0.4,"CYFER",0.9283,0.9858,0.7032,154,110,0.9617,0.9545,TRUE,6.769,1301,0.6609,0.5876,0.6536,0.4101,0.3062,0.4235,0.1419,0.1648,0.3777,0.8422,1.468,2947,136,1,0.01057,0.2278,0.8184,0.6184,33,330,670,1851,1096,321,626,0.8868,4.978
3,0.4,1,0.4,0.4,"CoSPAR",0.6338,0.8113,0.4249,222,110,0.6094,0.5365,TRUE,28.31,1301,0.6609,0.5876,0.6536,0.4101,0.3062,0.4235,0.1419,0.1648,0.3777,0.8422,1.468,2947,136,1,0.01057,0.2278,0.8184,0.6184,33,330,670,1851,1096,321,626,0.8868,4.978
3,0.4,1,0.4,0.4,"Lineage-DE",0.6777,0.8407,0.3117,315,110,NA,NA,TRUE,1.34,1301,0.6609,0.5876,0.6536,0.4101,0.3062,0.4235,0.1419,0.1648,0.3777,0.8422,1.468,2947,136,1,0.01057,0.2278,0.8184,0.6184,33,330,670,1851,1096,321,626,0.8868,4.978
3,0.4,2,0.4,0.4,"CYFER",0.9718,0.9946,0.7814,169,157,0.9669,0.9642,TRUE,5.199,1302,0.6609,0.5876,0.7506,0.4001,0.3003,0.4345,0.1321,0.1574,0.3814,0.9348,1.394,3008,127,0,-0.07567,0.4123,0.8421,0.6085,32,320,680,1849,1159,295,609,0.9963,4.581
3,0.4,2,0.4,0.4,"CoSPAR",0.784,0.8613,0.4448,262,157,0.599,0.5306,TRUE,32.49,1302,0.6609,0.5876,0.7506,0.4001,0.3003,0.4345,0.1321,0.1574,0.3814,0.9348,1.394,3008,127,0,-0.07567,0.4123,0.8421,0.6085,32,320,680,1849,1159,295,609,0.9963,4.581
3,0.4,2,0.4,0.4,"Lineage-DE",0.8513,0.905,0.3719,389,157,NA,NA,TRUE,1.347,1302,0.6609,0.5876,0.7506,0.4001,0.3003,0.4345,0.1321,0.1574,0.3814,0.9348,1.394,3008,127,0,-0.07567,0.4123,0.8421,0.6085,32,320,680,1849,1159,295,609,0.9963,4.581
4,0.5,1,0.5,0.4,"CYFER",0.9186,0.9798,0.6151,259,190,0.951,0.9491,TRUE,5.85,1401,0.6,0.7629,0.4653,0.4561,0.341,0.4526,0.1178,0.1716,0.3887,0.9198,1.136,2964,177,0,0.1148,0.4799,0.8479,0.5922,34,340,660,2002,962,315,618,0.9182,4.931
4,0.5,1,0.5,0.4,"CoSPAR",0.7501,0.8722,0.4874,164,190,0.5706,0.5066,TRUE,35.37,1401,0.6,0.7629,0.4653,0.4561,0.341,0.4526,0.1178,0.1716,0.3887,0.9198,1.136,2964,177,0,0.1148,0.4799,0.8479,0.5922,34,340,660,2002,962,315,618,0.9182,4.931
4,0.5,1,0.5,0.4,"Lineage-DE",0.8179,0.9032,0.4781,283,190,NA,NA,TRUE,1.315,1401,0.6,0.7629,0.4653,0.4561,0.341,0.4526,0.1178,0.1716,0.3887,0.9198,1.136,2964,177,0,0.1148,0.4799,0.8479,0.5922,34,340,660,2002,962,315,618,0.9182,4.931
4,0.5,2,0.5,0.4,"CYFER",0.9508,0.9888,0.6465,289,200,0.9748,0.9732,TRUE,6.101,1402,0.6,0.7629,0.2604,0.4908,0.3708,0.4238,0.1073,0.1602,0.3715,0.8987,1.537,3089,202,0,-0.1828,0.486,0.8605,0.6182,34,340,660,2145,944,316,598,0.9568,4.971
4,0.5,2,0.5,0.4,"CoSPAR",0.7857,0.8594,0.4274,331,200,0.5537,0.5056,TRUE,38.14,1402,0.6,0.7629,0.2604,0.4908,0.3708,0.4238,0.1073,0.1602,0.3715,0.8987,1.537,3089,202,0,-0.1828,0.486,0.8605,0.6182,34,340,660,2145,944,316,598,0.9568,4.971
4,0.5,2,0.5,0.4,"Lineage-DE",0.8418,0.9097,0.4847,333,200,NA,NA,TRUE,1.324,1402,0.6,0.7629,0.2604,0.4908,0.3708,0.4238,0.1073,0.1602,0.3715,0.8987,1.537,3089,202,0,-0.1828,0.486,0.8605,0.6182,34,340,660,2145,944,316,598,0.9568,4.971
