"level_idx","level","replicate","target_gini","target_aed","method","spearman","pearson","jaccard","num_called","num_truth","score_cor","score_spearman","bool_converged","runtime_sec","seed","h2","latent_scale","beta_0","gini_t2","gini_pooled","aed_mean","aed_min","aed_q05","aed_median","aed_q95","aed_max","t2_total","t2_max_clone","t2_num_zero","spearman_aed_t2size","pca_heritability","num_high_clones","num_high_cells","num_low_cells","num_high_t2","num_low_t2","num_progenitor_a","num_progenitor_b","num_t1_excluded_cospar","time_generate_sec","time_embed_sec"
1,0.3,1,0.3,0.4,"CYFER",0.9215,0.9781,0.6429,194,128,0.9409,0.9353,TRUE,5.787,1101,0.8304,0.3672,0.9341,0.3076,0.2287,0.4024,0.1958,0.2129,0.3652,0.6645,0.8723,2897,92,0,0.0967,0.6375,43,430,570,1880,1017,424,548,0,0.9201,4.9
1,0.3,1,0.3,0.4,"CoSPAR",0.695,0.8692,0.6104,120,128,0.6784,0.6508,TRUE,21.25,1101,0.8304,0.3672,0.9341,0.3076,0.2287,0.4024,0.1958,0.2129,0.3652,0.6645,0.8723,2897,92,0,0.0967,0.6375,43,430,570,1880,1017,424,548,0,0.9201,4.9
1,0.3,1,0.3,0.4,"Lineage-DE",0.7436,0.8997,0.5789,142,128,NA,NA,TRUE,1.434,1101,0.8304,0.3672,0.9341,0.3076,0.2287,0.4024,0.1958,0.2129,0.3652,0.6645,0.8723,2897,92,0,0.0967,0.6375,43,430,570,1880,1017,424,548,0,0.9201,4.9
1,0.3,2,0.3,0.4,"CYFER",0.9023,0.9704,0.726,137,115,0.9144,0.9065,TRUE,5.936,1102,0.8304,0.3672,0.9016,0.2915,0.2199,0.399,0.1695,0.2384,0.3683,0.6145,1.077,3073,123,0,-0.03613,0.6405,41,410,590,1894,1179,395,581,0,1.054,4.85
1,0.3,2,0.3,0.4,"CoSPAR",0.7075,0.8779,0.712,99,115,0.6735,0.6226,TRUE,21.11,1102,0.8304,0.3672,0.9016,0.2915,0.2199,0.399,0.1695,0.2384,0.3683,0.6145,1.077,3073,123,0,-0.03613,0.6405,41,410,590,1894,1179,395,581,0,1.054,4.85
1,0.3,2,0.3,0.4,"Lineage-DE",0.7534,0.9045,0.7519,111,115,NA,NA,TRUE,1.624,1102,0.8304,0.3672,0.9016,0.2915,0.2199,0.399,0.1695,0.2384,0.3683,0.6145,1.077,3073,123,0,-0.03613,0.6405,41,410,590,1894,1179,395,581,0,1.054,4.85
2,0.4,1,0.4,0.4,"CYFER",0.903,0.9787,0.7,175,131,0.9503,0.9467,TRUE,6.008,1201,0.6755,0.5577,0.7087,0.3714,0.2776,0.4297,0.1353,0.1518,0.3732,0.828,1.592,2960,116,0,0.07392,0.6129,39,390,610,1945,1015,358,549,0,0.9367,5.064
2,0.4,1,0.4,0.4,"CoSPAR",0.7427,0.8602,0.5373,178,131,0.5838,0.5607,TRUE,33.49,1201,0.6755,0.5577,0.7087,0.3714,0.2776,0.4297,0.1353,0.1518,0.3732,0.828,1.592,2960,116,0,0.07392,0.6129,39,390,610,1945,1015,358,549,0,0.9367,5.064
2,0.4,1,0.4,0.4,"Lineage-DE",0.7971,0.9101,0.6096,170,131,NA,NA,TRUE,1.469,1201,0.6755,0.5577,0.7087,0.3714,0.2776,0.4297,0.1353,0.1518,0.3732,0.828,1.592,2960,116,0,0.07392,0.6129,39,390,610,1945,1015,358,549,0,0.9367,5.064
2,0.4,2,0.4,0.4,"CYFER",0.9193,0.9874,0.8917,114,113,0.9623,0.9625,TRUE,5.582,1202,0.6755,0.5577,0.7453,0.3505,0.2617,0.4381,0.1334,0.2045,0.4056,0.9552,1.086,2947,92,0,0.06991,0.6053,39,390,610,1894,1053,351,576,0,0.9518,4.834
2,0.4,2,0.4,0.4,"CoSPAR",0.6714,0.8705,0.6835,121,113,0.5963,0.5517,TRUE,31.48,1202,0.6755,0.5577,0.7453,0.3505,0.2617,0.4381,0.1334,0.2045,0.4056,0.9552,1.086,2947,92,0,0.06991,0.6053,39,390,610,1894,1053,351,576,0,0.9518,4.834
2,0.4,2,0.4,0.4,"Lineage-DE",0.7096,0.9069,0.7463,121,113,NA,NA,TRUE,1.47,1202,0.6755,0.5577,0.7453,0.3505,0.2617,0.4381,0.1334,0.2045,0.4056,0.9552,1.086,2947,92,0,0.06991,0.6053,39,390,610,1894,1053,351,576,0,0.9518,4.834
3,0.5,1,0.5,0.4,"CYFER",0.9193,0.9902,0.876,119,108,0.9778,0.9758,TRUE,6.481,1301,0.6325,0.7629,0.3681,0.5074,0.3785,0.4107,0.1144,0.1426,0.3505,0.8904,1.547,2937,164,1,0.01979,0.63,32,320,680,2044,893,312,630,10,0.9948,5.32
3,0.5,1,0.5,0.4,"CoSPAR",0.6145,0.8747,0.7388,125,108,0.61,0.5297,TRUE,32.76,1301,0.6325,0.7629,0.3681,0.5074,0.3785,0.4107,0.1144,0.1426,0.3505,0.8904,1.547,2937,164,1,0.01979,0.63,32,320,680,2044,893,312,630,10,0.9948,5.32
3,0.5,1,0.5,0.4,"Lineage-DE",0.6701,0.8987,0.5899,175,108,NA,NA,TRUE,1.433,1301,0.6325,0.7629,0.3681,0.5074,0.3785,0.4107,0.1144,0.1426,0.3505,0.8904,1.547,2937,164,1,0.01979,0.63,32,320,680,2044,893,312,630,10,0.9948,5.32
3,0.5,2,0.5,0.4,"CYFER",0.9168,0.9864,0.7235,177,197,0.9668,0.9635,TRUE,6.728,1302,0.6325,0.7629,0.5123,0.4811,0.362,0.4254,0.09915,0.1342,0.3806,0.9793,1.429,3039,159,1,-0.07386,0.6167,33,330,670,2084,955,306,594,10,0.9966,4.713
3,0.5,2,0.5,0.4,"CoSPAR",0.7472,0.8692,0.4212,326,197,0.5874,0.5502,TRUE,37.19,1302,0.6325,0.7629,0.5123,0.4811,0.362,0.4254,0.09915,0.1342,0.3806,0.9793,1.429,3039,159,1,-0.07386,0.6167,33,330,670,2084,955,306,594,10,0.9966,4.713
3,0.5,2,0.5,0.4,"Lineage-DE",0.8401,0.913,0.4208,377,197,NA,NA,TRUE,1.674,1302,0.6325,0.7629,0.5123,0.4811,0.362,0.4254,0.09915,0.1342,0.3806,0.9793,1.429,3039,159,1,-0.07386,0.6167,33,330,670,2084,955,306,594,10,0.9966,4.713
4,0.6,1,0.6,0.4,"CYFER",0.898,0.9813,0.6275,213,189,0.9717,0.9723,TRUE,6.633,1401,0.6,0.965,0.1102,0.555,0.4157,0.4323,0.08847,0.1495,0.3679,0.8702,1.065,2985,269,3,0.09364,0.6105,32,320,680,2180,805,299,602,30,0.9233,4.564
4,0.6,1,0.6,0.4,"CoSPAR",0.7348,0.8501,0.4191,241,189,0.5644,0.4811,TRUE,37.86,1401,0.6,0.965,0.1102,0.555,0.4157,0.4323,0.08847,0.1495,0.3679,0.8702,1.065,2985,269,3,0.09364,0.6105,32,320,680,2180,805,299,602,30,0.9233,4.564
4,0.6,1,0.6,0.4,"Lineage-DE",0.82,0.8975,0.4225,380,189,NA,NA,TRUE,1.37,1401,0.6,0.965,0.1102,0.555,0.4157,0.4323,0.08847,0.1495,0.3679,0.8702,1.065,2985,269,3,0.09364,0.6105,32,320,680,2180,805,299,602,30,0.9233,4.564
4,0.6,2,0.6,0.4,"CYFER",0.9571,0.9912,0.6597,313,243,0.9723,0.9721,TRUE,8.554,1402,0.6,0.965,-0.1664,0.5851,0.4394,0.4004,0.08137,0.1352,0.3324,0.8481,1.513,3014,262,3,-0.1774,0.6393,30,300,700,2227,787,290,619,30,0.9015,4.563
4,0.6,2,0.6,0.4,"CoSPAR",0.6595,0.8091,0.3539,327,243,0.5554,0.482,TRUE,39.43,1402,0.6,0.965,-0.1664,0.5851,0.4394,0.4004,0.08137,0.1352,0.3324,0.8481,1.513,3014,262,3,-0.1774,0.6393,30,300,700,2227,787,290,619,30,0.9015,4.563
4,0.6,2,0.6,0.4,"Lineage-DE",0.7459,0.8735,0.3612,409,243,NA,NA,TRUE,1.34,1402,0.6,0.965,-0.1664,0.5851,0.4394,0.4004,0.08137,0.1352,0.3324,0.8481,1.513,3014,262,3,-0.1774,0.6393,30,300,700,2227,787,290,619,30,0.9015,4.563
5,0.7,1,0.7,0.4,"CYFER",0.9412,0.9928,0.5625,298,177,0.9775,0.9783,TRUE,6.935,1501,0.6,1.355,-1.078,0.7546,0.5678,0.4169,0.03592,0.08579,0.3895,0.8655,1.102,3039,426,15,0.1336,0.6244,23,230,770,2495,544,222,582,150,0.8704,4.622
5,0.7,1,0.7,0.4,"CoSPAR",0.1068,0.5913,0.1841,492,177,0.5547,0.4505,TRUE,35.34,1501,0.6,1.355,-1.078,0.7546,0.5678,0.4169,0.03592,0.08579,0.3895,0.8655,1.102,3039,426,15,0.1336,0.6244,23,230,770,2495,544,222,582,150,0.8704,4.622
