"level_idx","level","method","target_gini","target_aed","num_replicates","num_converged","spearman_mean","spearman_sd","pearson_mean","pearson_sd","jaccard_mean","jaccard_sd","score_cor_mean","score_cor_sd","score_spearman_mean","score_spearman_sd","gini_t2_mean","gini_pooled_mean","aed_mean_mean","aed_q05_mean","aed_q95_mean","t2_total_mean","t2_max_clone_mean","t2_num_zero_mean","spearman_aed_t2size_mean","split_half_reliability_mean","split_half_pearson_mean","pca_heritability_mean","num_high_clones_mean","runtime_sec_mean"
1,0.2,"CoSPAR",0.2,0.4,2,2,0.6074,0.03217,0.7234,0.03223,0.4804,0.05849,0.5315,0.002814,0.497,0.0101,0.2035,0.1531,0.5369,0.223,1.064,3032,72.5,0,0.07121,0.2126,0.5806,0.5163,47,20.98
1,0.2,"CYFER",0.2,0.4,2,2,0.4449,0.1142,0.4265,0.1253,0.06976,0.02226,0.3161,0.1037,0.3107,0.1128,0.2035,0.1531,0.5369,0.223,1.064,3032,72.5,0,0.07121,0.2126,0.5806,0.5163,47,2.921
1,0.2,"Lineage-DE",0.2,0.4,2,2,0.6504,0.02973,0.7665,0.02046,0.5457,0.01506,NA,NA,NA,NA,0.2035,0.1531,0.5369,0.223,1.064,3032,72.5,0,0.07121,0.2126,0.5806,0.5163,47,1.407
2,0.3,"CoSPAR",0.3,0.4,2,2,0.6331,0.06986,0.7998,0.004578,0.5847,0.1121,0.5585,0.02347,0.4959,0.01116,0.31,0.2321,0.4522,0.1207,0.9724,2985,100.5,0,-0.02655,0.2634,0.7342,0.5926,34.5,27.86
2,0.3,"CYFER",0.3,0.4,2,2,0.6439,0.06539,0.6764,0.1242,0.1594,0.0745,0.4883,0.1299,0.4778,0.1247,0.31,0.2321,0.4522,0.1207,0.9724,2985,100.5,0,-0.02655,0.2634,0.7342,0.5926,34.5,2.911
2,0.3,"Lineage-DE",0.3,0.4,2,2,0.7199,0.05614,0.8827,0.002289,0.686,0.1339,NA,NA,NA,NA,0.31,0.2321,0.4522,0.1207,0.9724,2985,100.5,0,-0.02655,0.2634,0.7342,0.5926,34.5,1.349
3,0.4,"CoSPAR",0.4,0.4,2,2,0.625,0.04475,0.8583,0.02558,0.6761,0.09343,0.5698,0.01767,0.52,0.005882,0.3976,0.2971,0.4104,0.07947,0.9764,2954,166,0,-0.03268,0.2428,0.7715,0.6303,32.5,32.71
3,0.4,"CYFER",0.4,0.4,2,2,0.9441,0.005474,0.9894,6.263e-05,0.8182,0.0604,0.9734,0.0006072,0.9721,0.002659,0.3976,0.2971,0.4104,0.07947,0.9764,2954,166,0,-0.03268,0.2428,0.7715,0.6303,32.5,2.971
3,0.4,"Lineage-DE",0.4,0.4,2,2,0.7146,0.02295,0.901,0.02368,0.6929,0.2141,NA,NA,NA,NA,0.3976,0.2971,0.4104,0.07947,0.9764,2954,166,0,-0.03268,0.2428,0.7715,0.6303,32.5,1.45
4,0.5,"CoSPAR",0.5,0.4,2,2,0.5359,0.2253,0.7663,0.08123,0.4092,0.0374,0.4877,0.01601,0.4266,0.04085,0.5095,0.3831,0.41,0.07866,0.9064,3032,302,1,0.02019,0.3746,0.8367,0.6307,30,35.6
4,0.5,"CYFER",0.5,0.4,2,2,0.912,0.07829,0.9846,0.01322,0.6858,0.008683,0.9803,0.003114,0.9774,0.004497,0.5095,0.3831,0.41,0.07866,0.9064,3032,302,1,0.02019,0.3746,0.8367,0.6307,30,3.329
4,0.5,"Lineage-DE",0.5,0.4,2,2,0.6669,0.117,0.8509,0.01405,0.4208,0.0165,NA,NA,NA,NA,0.5095,0.3831,0.41,0.07866,0.9064,3032,302,1,0.02019,0.3746,0.8367,0.6307,30,1.385
5,0.6,"CoSPAR",0.6,0.4,2,2,0.4572,0.1137,0.7841,0.06201,0.4202,0.07201,0.4927,0.01201,0.4255,0.05477,0.5703,0.4287,0.3689,0.08926,0.8503,3034,220.5,1.5,0.001196,0.4269,0.8635,0.6676,30,43.68
