"level_idx","level","method","target_gini","target_aed","num_replicates","num_converged","spearman_mean","spearman_sd","pearson_mean","pearson_sd","jaccard_mean","jaccard_sd","score_cor_mean","score_cor_sd","score_spearman_mean","score_spearman_sd","gini_t2_mean","gini_pooled_mean","aed_mean_mean","aed_q05_mean","aed_q95_mean","t2_total_mean","t2_max_clone_mean","t2_num_zero_mean","spearman_aed_t2size_mean","pca_heritability_mean","num_high_clones_mean","num_t1_excluded_cospar_mean","runtime_sec_mean"
1,0.3,"CoSPAR",0.3,0.4,20,20,0.697,0.07124,0.8546,0.03877,0.6091,0.0772,0.6716,0.03078,0.6279,0.03759,0.2989,0.224,0.3987,0.2182,0.6614,2990,97.15,0,-0.01599,0.6408,41.9,0,20.12
1,0.3,"CYFER",0.3,0.4,20,20,0.8961,0.0291,0.9664,0.01218,0.7,0.08101,0.9089,0.02405,0.903,0.02548,0.2989,0.224,0.3987,0.2182,0.6614,2990,97.15,0,-0.01599,0.6408,41.9,0,5.71
1,0.3,"Lineage-DE",0.3,0.4,20,20,0.7472,0.07025,0.8868,0.0369,0.615,0.09038,NA,NA,NA,NA,0.2989,0.224,0.3987,0.2182,0.6614,2990,97.15,0,-0.01599,0.6408,41.9,0,1.39
2,0.4,"CoSPAR",0.4,0.4,20,20,0.6541,0.05137,0.8471,0.03418,0.5465,0.095,0.6054,0.02965,0.552,0.03764,0.3805,0.2857,0.4212,0.1728,0.8319,3013,138.1,0.05,0.02741,0.6206,36.85,0.5,30.35
2,0.4,"CYFER",0.4,0.4,20,20,0.92,0.02366,0.983,0.005423,0.751,0.1127,0.9529,0.007777,0.9493,0.009216,0.3805,0.2857,0.4212,0.1728,0.8319,3013,138.1,0.05,0.02741,0.6206,36.85,0.5,6.149
2,0.4,"Lineage-DE",0.4,0.4,20,20,0.7005,0.06297,0.8841,0.03214,0.5594,0.1155,NA,NA,NA,NA,0.3805,0.2857,0.4212,0.1728,0.8319,3013,138.1,0.05,0.02741,0.6206,36.85,0.5,1.429
3,0.5,"CoSPAR",0.5,0.4,20,20,0.6978,0.1162,0.8685,0.03006,0.5212,0.1221,0.5764,0.02662,0.5172,0.03022,0.4918,0.369,0.4199,0.1446,0.8848,3004,196.9,0.55,0.007945,0.6217,33.45,5.5,35.76
3,0.5,"CYFER",0.5,0.4,20,20,0.9445,0.02992,0.9901,0.004275,0.7502,0.0966,0.9735,0.005041,0.9715,0.005146,0.4918,0.369,0.4199,0.1446,0.8848,3004,196.9,0.55,0.007945,0.6217,33.45,5.5,6.636
3,0.5,"Lineage-DE",0.5,0.4,20,20,0.7435,0.1165,0.9001,0.02692,0.5242,0.1138,NA,NA,NA,NA,0.4918,0.369,0.4199,0.1446,0.8848,3004,196.9,0.55,0.007945,0.6217,33.45,5.5,1.336
4,0.6,"CoSPAR",0.6,0.4,20,20,0.6368,0.1076,0.8207,0.03371,0.4534,0.1282,0.5427,0.03348,0.4657,0.03803,0.572,0.4291,0.4319,0.1267,0.9197,3002,326.5,1.65,0.03543,0.6109,28.9,16.5,37.94
