"level_idx","level","method","target_gini","target_aed","num_replicates","num_converged","spearman_mean","spearman_sd","pearson_mean","pearson_sd","jaccard_mean","jaccard_sd","score_cor_mean","score_cor_sd","score_spearman_mean","score_spearman_sd","gini_t2_mean","gini_pooled_mean","aed_mean_mean","aed_q05_mean","aed_q95_mean","t2_total_mean","t2_max_clone_mean","t2_num_zero_mean","spearman_aed_t2size_mean","split_half_reliability_mean","split_half_pearson_mean","pca_heritability_mean","num_high_clones_mean","runtime_sec_mean"
1,0.2,"CoSPAR",0.2,0.4,2,2,0.674,0.02272,0.7919,0.03647,0.5159,0.07131,0.665,0.01998,0.6248,0.02547,0.215,0.1612,0.5456,0.3211,0.9212,2997,71,0,-0.03801,0.2189,0.5161,0.5084,43,17.98
1,0.2,"CYFER",0.2,0.4,2,2,0.7503,0.01288,0.8578,0.02491,0.4723,0.07396,0.7417,0.03906,0.7269,0.03429,0.215,0.1612,0.5456,0.3211,0.9212,2997,71,0,-0.03801,0.2189,0.5161,0.5084,43,5.151
1,0.2,"Lineage-DE",0.2,0.4,2,2,0.7272,0.05624,0.8371,0.05473,0.5612,0.1163,NA,NA,NA,NA,0.215,0.1612,0.5456,0.3211,0.9212,2997,71,0,-0.03801,0.2189,0.5161,0.5084,43,1.373
2,0.3,"CoSPAR",0.3,0.4,2,2,0.6874,0.07113,0.8499,0.01849,0.6249,0.04434,0.6529,0.01801,0.6107,0.008385,0.2934,0.22,0.427,0.2211,0.7795,2998,86,0,0.07166,0.2624,0.7107,0.6153,43.5,19.7
2,0.3,"CYFER",0.3,0.4,2,2,0.8787,0.02045,0.9668,0.0006652,0.7437,0.05072,0.9114,0.007456,0.9118,0.006838,0.2934,0.22,0.427,0.2211,0.7795,2998,86,0,0.07166,0.2624,0.7107,0.6153,43.5,5.346
2,0.3,"Lineage-DE",0.3,0.4,2,2,0.7277,0.04736,0.8762,0.0103,0.6149,0.04958,NA,NA,NA,NA,0.2934,0.22,0.427,0.2211,0.7795,2998,86,0,0.07166,0.2624,0.7107,0.6153,43.5,1.439
3,0.4,"CoSPAR",0.4,0.4,2,2,0.7089,0.1062,0.8363,0.03532,0.4349,0.0141,0.6042,0.007376,0.5335,0.004132,0.4051,0.3032,0.429,0.1611,0.8885,2978,131.5,0.5,-0.03255,0.32,0.8302,0.6135,32.5,30.4
3,0.4,"CYFER",0.4,0.4,2,2,0.95,0.03079,0.9902,0.006176,0.7423,0.05529,0.9643,0.003666,0.9593,0.006845,0.4051,0.3032,0.429,0.1611,0.8885,2978,131.5,0.5,-0.03255,0.32,0.8302,0.6135,32.5,5.984
3,0.4,"Lineage-DE",0.4,0.4,2,2,0.7645,0.1227,0.8729,0.04541,0.3418,0.04252,NA,NA,NA,NA,0.4051,0.3032,0.429,0.1611,0.8885,2978,131.5,0.5,-0.03255,0.32,0.8302,0.6135,32.5,1.343
4,0.5,"CoSPAR",0.5,0.4,2,2,0.7679,0.02514,0.8658,0.00905,0.4574,0.04241,0.5621,0.01198,0.5061,0.0007175,0.4734,0.3559,0.4382,0.1659,0.9092,3026,189.5,0,-0.03398,0.483,0.8542,0.6052,34,36.76
4,0.5,"CYFER",0.5,0.4,2,2,0.9347,0.02278,0.9843,0.00638,0.6308,0.02217,0.9629,0.01686,0.9611,0.01703,0.4734,0.3559,0.4382,0.1659,0.9092,3026,189.5,0,-0.03398,0.483,0.8542,0.6052,34,5.976
4,0.5,"Lineage-DE",0.5,0.4,2,2,0.8298,0.01693,0.9064,0.004599,0.4814,0.004635,NA,NA,NA,NA,0.4734,0.3559,0.4382,0.1659,0.9092,3026,189.5,0,-0.03398,0.483,0.8542,0.6052,34,1.32
5,0.6,"CoSPAR",0.6,0.4,2,2,0.2787,0.1189,0.7519,0.08682,0.2995,0.04065,0.5237,0.03672,0.4743,0.04703,0.6294,0.4738,0.4254,0.1144,0.8886,3045,302.5,4,0.1116,0.4472,0.8782,0.6168,30,48.6
5,0.6,"CYFER",0.6,0.4,2,2,0.9537,0.0227,0.9938,0.001176,0.7457,0.02059,0.9811,0.002211,0.982,0.0007966,0.6294,0.4738,0.4254,0.1144,0.8886,3045,302.5,4,0.1116,0.4472,0.8782,0.6168,30,7.33
5,0.6,"Lineage-DE",0.6,0.4,2,2,0.598,0.03792,0.9076,0.006624,0.4205,0.1062,NA,NA,NA,NA,0.6294,0.4738,0.4254,0.1144,0.8886,3045,302.5,4,0.1116,0.4472,0.8782,0.6168,30,1.285
6,0.75,"CoSPAR",0.75,0.4,2,2,0.605,0.009505,0.7715,0.05327,0.3531,0.1382,0.4443,0.04008,0.3268,0.06374,0.6981,0.5247,0.4009,0.09625,0.8537,3027,352.5,5,-0.02816,0.4998,0.9065,0.6388,23,37.37
6,0.75,"CYFER",0.75,0.4,2,2,0.8855,0.115,0.985,0.01041,0.5782,0.1106,0.9594,0.02165,0.9654,0.01341,0.6981,0.5247,0.4009,0.09625,0.8537,3027,352.5,5,-0.02816,0.4998,0.9065,0.6388,23,6.378
6,0.75,"Lineage-DE",0.75,0.4,2,2,0.7228,0.1404,0.9015,0.04399,0.4287,0.00658,NA,NA,NA,NA,0.6981,0.5247,0.4009,0.09625,0.8537,3027,352.5,5,-0.02816,0.4998,0.9065,0.6388,23,1.241
7,0.9,"CoSPAR",0.9,0.4,2,2,-0.132,0.5816,-0.1122,0.4102,0.1284,0.1771,0.08622,0.1038,-0.06172,0.1105,0.8851,0.6631,0.4112,0.1237,0.7648,2985,1139,25,0.113,0.5997,0.9033,0.6296,11.5,37.23
7,0.9,"CYFER",0.9,0.4,2,2,0.5153,0.04629,0.8845,0.00487,0.1654,0.005367,0.8193,0.02839,0.8242,0.02977,0.8851,0.6631,0.4112,0.1237,0.7648,2985,1139,25,0.113,0.5997,0.9033,0.6296,11.5,7.771
7,0.9,"Lineage-DE",0.9,0.4,2,2,0.5566,0.3469,0.7514,0.1216,0.3308,0.1589,NA,NA,NA,NA,0.8851,0.6631,0.4112,0.1237,0.7648,2985,1139,25,0.113,0.5997,0.9033,0.6296,11.5,1.153
