"level_idx","level","method","target_gini","target_aed","num_replicates","num_converged","spearman_mean","spearman_sd","pearson_mean","pearson_sd","jaccard_mean","jaccard_sd","score_cor_mean","score_cor_sd","score_spearman_mean","score_spearman_sd","gini_t2_mean","gini_pooled_mean","aed_mean_mean","aed_q05_mean","aed_q95_mean","t2_total_mean","t2_max_clone_mean","t2_num_zero_mean","spearman_aed_t2size_mean","pca_heritability_mean","num_high_clones_mean","num_t1_excluded_cospar_mean","runtime_sec_mean"
1,0.3,"CoSPAR",0.3,0.4,2,2,0.7012,0.00884,0.8736,0.006167,0.6612,0.07185,0.676,0.003444,0.6367,0.01989,0.2996,0.2243,0.4007,0.2256,0.6395,2985,107.5,0,0.03028,0.639,42,0,21.18
1,0.3,"CYFER",0.3,0.4,2,2,0.9119,0.01357,0.9742,0.005434,0.6844,0.05881,0.9276,0.01873,0.9209,0.02041,0.2996,0.2243,0.4007,0.2256,0.6395,2985,107.5,0,0.03028,0.639,42,0,5.861
1,0.3,"Lineage-DE",0.3,0.4,2,2,0.7485,0.006955,0.9021,0.003425,0.6654,0.1223,NA,NA,NA,NA,0.2996,0.2243,0.4007,0.2256,0.6395,2985,107.5,0,0.03028,0.639,42,0,1.529
2,0.4,"CoSPAR",0.4,0.4,2,2,0.7071,0.05046,0.8654,0.007263,0.6104,0.1033,0.5901,0.008845,0.5562,0.006342,0.3609,0.2696,0.4339,0.1781,0.8916,2954,104,0,0.07191,0.6091,39,0,32.49
2,0.4,"CYFER",0.4,0.4,2,2,0.9111,0.01152,0.9831,0.006182,0.7958,0.1355,0.9563,0.008451,0.9546,0.01122,0.3609,0.2696,0.4339,0.1781,0.8916,2954,104,0,0.07191,0.6091,39,0,5.795
2,0.4,"Lineage-DE",0.4,0.4,2,2,0.7534,0.06182,0.9085,0.002258,0.6779,0.09662,NA,NA,NA,NA,0.3609,0.2696,0.4339,0.1781,0.8916,2954,104,0,0.07191,0.6091,39,0,1.469
3,0.5,"CoSPAR",0.5,0.4,2,2,0.6809,0.09388,0.872,0.003883,0.58,0.2246,0.5987,0.01598,0.5399,0.01446,0.4942,0.3702,0.4181,0.1384,0.9348,2988,161.5,1,-0.02703,0.6234,32.5,10,34.97
3,0.5,"CYFER",0.5,0.4,2,2,0.918,0.001787,0.9883,0.00266,0.7998,0.1079,0.9723,0.007789,0.9696,0.008747,0.4942,0.3702,0.4181,0.1384,0.9348,2988,161.5,1,-0.02703,0.6234,32.5,10,6.605
3,0.5,"Lineage-DE",0.5,0.4,2,2,0.7551,0.1202,0.9059,0.01012,0.5053,0.1196,NA,NA,NA,NA,0.4942,0.3702,0.4181,0.1384,0.9348,2988,161.5,1,-0.02703,0.6234,32.5,10,1.554
4,0.6,"CoSPAR",0.6,0.4,2,2,0.6972,0.05325,0.8296,0.02901,0.3865,0.04612,0.5599,0.006397,0.4816,0.0005934,0.5701,0.4275,0.4163,0.1423,0.8591,3000,265.5,3,-0.04189,0.6249,31,30,38.64
4,0.6,"CYFER",0.6,0.4,2,2,0.9275,0.04177,0.9862,0.007036,0.6436,0.02275,0.972,0.0004029,0.9722,0.0001397,0.5701,0.4275,0.4163,0.1423,0.8591,3000,265.5,3,-0.04189,0.6249,31,30,7.594
4,0.6,"Lineage-DE",0.6,0.4,2,2,0.7829,0.05239,0.8855,0.017,0.3918,0.04337,NA,NA,NA,NA,0.5701,0.4275,0.4163,0.1423,0.8591,3000,265.5,3,-0.04189,0.6249,31,30,1.355
5,0.7,"CoSPAR",0.7,0.4,2,2,0.2714,0.2328,0.684,0.1311,0.2525,0.09674,0.5413,0.01892,0.4485,0.0028,0.7474,0.5619,0.407,0.09561,0.8514,3030,499.5,10,0.1214,0.6334,23,100,36.91
5,0.7,"CYFER",0.7,0.4,2,2,0.9201,0.02978,0.987,0.008152,0.5634,0.0013,0.96,0.0247,0.9699,0.01198,0.7474,0.5619,0.407,0.09561,0.8514,3030,499.5,10,0.1214,0.6334,23,100,7.249
5,0.7,"Lineage-DE",0.7,0.4,2,2,0.4811,0.1236,0.868,0.03933,0.3099,0.01926,NA,NA,NA,NA,0.7474,0.5619,0.407,0.09561,0.8514,3030,499.5,10,0.1214,0.6334,23,100,1.287
6,0.8,"CoSPAR",0.8,0.4,2,2,0.618,0.07071,0.8014,0.06097,0.3949,0.163,0.5197,0.01526,0.3764,0.04969,0.7411,0.5564,0.3985,0.09487,0.8384,3011,416.5,7.5,-0.009848,0.641,22,75,35.73
6,0.8,"CYFER",0.8,0.4,2,2,0.9033,0.07644,0.9876,0.003729,0.5757,0.01546,0.9654,0.01174,0.9675,0.008737,0.7411,0.5564,0.3985,0.09487,0.8384,3011,416.5,7.5,-0.009848,0.641,22,75,6.676
6,0.8,"Lineage-DE",0.8,0.4,2,2,0.674,0.1757,0.8897,0.04436,0.4033,0.03675,NA,NA,NA,NA,0.7411,0.5564,0.3985,0.09487,0.8384,3011,416.5,7.5,-0.009848,0.641,22,75,1.288
7,0.9,"CoSPAR",0.9,0.4,2,2,0.3064,0.3115,0.4431,0.1814,0.1314,0.01723,0.3984,0.06651,0.207,0.02767,0.8851,0.6631,0.4112,0.1237,0.7648,2985,1139,25,0.113,0.6296,11.5,250,36.66
7,0.9,"CYFER",0.9,0.4,2,2,0.5153,0.04629,0.8845,0.00487,0.1654,0.005367,0.8193,0.02839,0.8242,0.02977,0.8851,0.6631,0.4112,0.1237,0.7648,2985,1139,25,0.113,0.6296,11.5,250,8.057
7,0.9,"Lineage-DE",0.9,0.4,2,2,0.5566,0.3469,0.7514,0.1216,0.3308,0.1589,NA,NA,NA,NA,0.8851,0.6631,0.4112,0.1237,0.7648,2985,1139,25,0.113,0.6296,11.5,250,1.206
