"f","seed","auroc_cell","auroc_clone","cor_z","sensitivity","specificity","jaccard_features","n_resistant","n_valid_clones"
0.01,27,1,0.872505543237251,0.310419085225998,0.999999999991667,0.90942028985499,1,12,93
0.01,44,1,0.798611111111111,0.338982341717582,0.999999999991667,0.908771929824482,1,12,96
0.01,61,0.999858276643991,0.831460674157303,0.372577587544834,0.999999999991667,0.9090136054421,1,12,99
0.01,78,1,0.8714859437751,0.379026865835762,0.999999999991667,0.909574468085026,0.666666666666667,12,95
0.01,95,1,0.854166666666667,0.379093597595156,0.999999999991667,0.908771929824482,1,12,96
0.01,112,1,0.931547619047619,0.429390053005023,0.999999999991667,0.908771929824482,1,12,96
0.01,129,0.988799283154122,0.617743702081051,0.385701469865525,0.916666666659028,0.908602150537553,1,12,94
0.01,146,0.999922839506173,0.925105485232067,0.393241816962934,0.999999999991667,0.909259259259175,1,12,91
0.01,163,1,0.896103896103896,0.41626465375894,0.999999999991667,0.909574468085026,1,12,95
0.01,180,1,0.916666666666667,0.435471220572793,0.999999999991667,0.909574468085026,1,12,95
0.02,37,0.999687890137328,0.841897233201581,0.448650150690389,0.999999999995833,0.919475655430625,1,24,91
0.02,54,1,0.8125,0.550139772065333,0.999999999995833,0.919444444444359,1,24,92
0.02,71,0.999922839506173,0.85633270321361,0.519374940319133,0.999999999995833,0.919444444444359,1,24,92
0.02,88,0.999926122931442,0.838452088452088,0.527402583972569,0.999999999995833,0.918439716311975,1,24,96
0.02,105,1,0.828767123287671,0.525628246453679,0.999999999995833,0.919354838709595,1,24,95
0.02,122,0.999926900584795,0.733709273182957,0.511690365437661,0.999999999995833,0.918421052631498,1,24,97
0.02,139,0.999922839506173,0.903472222222222,0.520475655355183,0.999999999995833,0.919444444444359,1,24,92
0.02,156,0.999890350877193,0.893333333333333,0.525083211319328,0.999999999995833,0.918421052631498,1,24,97
0.02,173,1,0.806338028169014,0.554183489220564,0.999999999995833,0.919354838709595,1,24,95
0.02,190,1,0.903105590062112,0.520602202327848,0.999999999995833,0.919413919413835,1,24,93
0.05,67,0.999835722819594,0.861635220125786,0.666223797287868,0.999999999998333,0.94802867383504,1,60,98
0.05,84,0.999921972534332,0.867120181405896,0.727208150270375,0.999999999998333,0.950374531835117,1,60,94
0.05,101,0.999648962148962,0.855638437911365,0.692117902514329,0.999999999998333,0.948717948717862,1,60,96
0.05,118,0.996993284493285,0.896732026143791,0.634913740774865,0.983333333331694,0.947802197802111,1,60,96
0.05,135,0.999663742690059,0.87012987012987,0.678935680508253,0.999999999998333,0.947368421052548,1,60,100
0.05,152,0.999970449172577,0.932051282051282,0.719704010835742,0.999999999998333,0.947695035460909,1,60,99
0.05,169,0.999551971326165,0.8425,0.680328383432597,0.999999999998333,0.94802867383504,1,60,98
0.05,186,0.999970131421744,0.881471972614463,0.696672568843394,0.999999999998333,0.94802867383504,1,60,98
0.05,203,0.999968071519796,0.86855791962175,0.75210746339636,0.999999999998333,0.951149425287265,1,60,92
0.05,220,0.995878136200717,0.904463913224864,0.598455633949071,0.983333333331694,0.94713261648737,1,60,98
0.1,117,0.99810393258427,0.888888888888889,0.76358659565804,0.949999999999208,0.995318352059832,1,120,99
0.1,134,0.998958333333333,0.897979797979798,0.794264714042686,0.958333333332535,0.999031007751841,1,120,96
0.1,151,0.998804012345679,0.886352598348713,0.791510688012683,0.958333333332535,0.995370370370278,1,120,100
0.1,168,0.998156130268199,0.906832298136646,0.775856810697725,0.933333333332556,0.995210727969253,1,120,97
0.1,185,0.999518623737374,0.884931506849315,0.802576185746518,0.949999999999208,0.996212121212027,1,120,98
0.1,202,0.998751560549313,0.919238683127572,0.771816088850608,0.958333333332535,0.996254681647847,1,120,99
0.1,219,0.999040262172285,0.888830347734457,0.781653019339643,0.941666666665882,0.994382022471817,1,120,99
0.1,236,0.999398148148148,0.911719939117199,0.798245914070513,0.974999999999188,0.99722222222213,1,120,100
0.1,253,0.999499354005168,0.875578703703704,0.797872103978843,0.949999999999208,0.998062015503779,1,120,96
0.1,270,0.99980493133583,0.892432432432432,0.803089884501884,0.974999999999188,0.998127340823877,1,120,99
0.25,267,0.999674074074074,0.989473684210526,0.881501184078294,0.999999999999667,0.93333333333323,1,300,100
0.25,284,0.9995,0.989795918367347,0.88586619272776,0.999999999999667,0.93333333333323,1,300,100
0.25,301,0.997925925925926,0.959183673469388,0.855168547731189,0.98999999999967,0.929999999999897,1,300,100
0.25,318,0.999044444444444,0.982817869415808,0.865503197074225,0.999999999999667,0.93333333333323,1,300,100
0.25,335,0.999523273273273,0.961805555555556,0.880741288580573,0.999999999999667,0.935810810810705,1,300,99
0.25,352,0.9982,1,0.851618477095038,0.996666666666335,0.932222222222119,1,300,100
0.25,369,0.994862962962963,0.98989898989899,0.84675593629559,0.98999999999967,0.929999999999897,1,300,100
0.25,386,0.999407407407407,0.957894736842105,0.883949787885123,0.996666666666335,0.932222222222119,1,300,100
0.25,403,0.998885185185185,0.95578947368421,0.864513328661974,0.996666666666335,0.932222222222119,1,300,100
0.25,420,0.999233333333333,0.965635738831615,0.895150537694346,0.999999999999667,0.93333333333323,1,300,100
0.5,517,0.997525,0.5,0.882407593382946,0.976666666666504,0.976666666666504,1,600,100
0.5,534,0.999036111111111,0.5,0.904008226068605,0.989999999999835,0.989999999999835,1,600,100
0.5,551,0.9972,0.5,0.884456096323887,0.976666666666504,0.976666666666504,1,600,100
0.5,568,0.991444444444444,0.5,0.860436184687596,0.948333333333175,0.948333333333175,1,600,100
0.5,585,0.997727777777778,0.5,0.890553825769608,0.973333333333171,0.973333333333171,1,600,100
0.5,602,0.989130555555556,0.5,0.845995854696256,0.944999999999842,0.944999999999842,1,600,100
0.5,619,0.99195,0.5,0.856701963962963,0.956666666666507,0.956666666666507,1,600,100
0.5,636,0.999708333333333,0.5,0.914908302087614,0.993333333333168,0.993333333333168,1,600,100
0.5,653,0.996841666666667,0.5,0.878752723320023,0.968333333333172,0.968333333333172,1,600,100
0.5,670,0.997452777777778,0.98989898989899,0.886329288414641,0.971666666666505,0.971666666666505,1,600,100
