"h2_feature","h2_fate","mean_cor_cyfer","sd_cor_cyfer","mean_jac_cyfer","mean_cor_naive","mean_jac_naive","cor_improvement","jac_improvement"
0.05,0.1,0.064,0.083,0.131,0.096,0.148,-0.032,-0.017
0.2,0.1,0.127,0.051,0.176,0.12,0.172,0.00700000000000001,0.004
0.5,0.1,0.122,0.058,0.208,0.172,0.321,-0.05,-0.113
0.8,0.1,0.177,0.064,0.215,0.239,0.44,-0.062,-0.225
0.95,0.1,0.163,0.053,0.244,0.249,0.391,-0.086,-0.147
0.05,0.3,0.159,0.145,0.194,0.091,0.216,0.068,-0.022
0.2,0.3,0.257,0.081,0.262,0.195,0.438,0.062,-0.176
0.5,0.3,0.305,0.065,0.325,0.303,0.506,0.002,-0.181
0.8,0.3,0.345,0.064,0.367,0.419,0.482,-0.074,-0.115
0.95,0.3,0.377,0.074,0.367,0.461,0.662,-0.084,-0.295
0.05,0.6,0.271,0.219,0.23,0.144,0.301,0.127,-0.071
0.2,0.6,0.461,0.133,0.416,0.272,0.438,0.189,-0.022
0.5,0.6,0.569,0.07,0.512,0.478,0.596,0.091,-0.084
0.8,0.6,0.663,0.051,0.643,0.655,0.733,0.00800000000000001,-0.09
0.95,0.6,0.651,0.044,0.563,0.722,0.8,-0.071,-0.237
0.05,0.9,0.711,0.16,0.687,0.164,0.521,0.547,0.166
0.2,0.9,0.863,0.052,0.933,0.361,0.539,0.502,0.394
0.5,0.9,0.883,0.037,1,0.645,0.8,0.238,0.2
0.8,0.9,0.913,0.015,0.833,0.825,0.719,0.0880000000000001,0.114
0.95,0.9,0.92,0.009,0.719,0.903,0.9,0.017,-0.181
