"p_overlap","dropout_type","mean_cor_z","sd_cor_z","mean_gini_true","mean_gini_hat","mean_gini_error","n_converged"
0.1,"random",0.482,0.156,0.945,0.836,0.13,10
0.25,"random",0.947,0.065,0.939,0.915,0.024,10
0.5,"random",0.999,0,0.934,0.933,0.001,10
0.75,"random",1,0,0.93,0.929,0.001,10
1,"random",1,0,0.948,0.947,0,10
0.1,"size_biased",0.414,0.274,0.942,0.808,0.153,8
0.25,"size_biased",0.62,0.227,0.939,0.758,0.181,10
0.5,"size_biased",0.996,0.009,0.934,0.931,0.004,10
0.75,"size_biased",1,0,0.93,0.93,0.001,10
1,"size_biased",1,0,0.948,0.948,0,10
