"scenario","replicate","seed","cor_z_cyfer","auroc_cyfer","auroc_naive","auprc_cyfer","auprc_naive","TP_cyfer","FP_cyfer","TN_cyfer","FN_cyfer","sensitivity_cyfer","specificity_cyfer","precision_cyfer","f1_cyfer","jaccard_cyfer","TP_naive","FP_naive","TN_naive","FN_naive","sensitivity_naive","specificity_naive","precision_naive","f1_naive","jaccard_naive","sensitivity_clone_mean","specificity_clone_mean","f1_clone_mean","jaccard_clone_mean"
"priming",1,37,0.974450585921907,0.6825,0.69,0.486149343577555,0.363201505016722,7,26,14,3,0.7,0.35,0.212121212121212,0.325581395348837,0.194444444444444,8,23,17,2,0.8,0.425,0.258064516129032,0.390243902439024,0.242424242424242,0.4,0.925,0.470588235294118,0.307692307692308
"priming",2,74,0.959994660499098,0.85,0.745,0.507566547552035,0.449037435497962,10,26,14,0,1,0.35,0.277777777777778,0.434782608695652,0.277777777777778,10,28,12,0,1,0.3,0.263157894736842,0.416666666666667,0.263157894736842,0.4,0.9,0.444444444444444,0.285714285714286
"priming",3,111,0.974233207247461,0.8375,0.8,0.563671955624355,0.596144208376961,9,23,17,1,0.9,0.425,0.28125,0.428571428571429,0.272727272727273,9,22,18,1,0.9,0.45,0.290322580645161,0.439024390243902,0.28125,0.4,0.95,0.5,0.333333333333333
"priming",4,148,0.928387265391317,0.795,0.6275,0.519462694168576,0.385598651802765,9,28,12,1,0.9,0.3,0.243243243243243,0.382978723404255,0.236842105263158,8,30,10,2,0.8,0.25,0.210526315789474,0.333333333333333,0.2,0.4,0.975,0.533333333333333,0.363636363636364
"priming",5,185,0.962899020413953,0.735,0.7125,0.487249501448058,0.321200545050289,9,25,15,1,0.9,0.375,0.264705882352941,0.409090909090909,0.257142857142857,10,28,12,0,1,0.3,0.263157894736842,0.416666666666667,0.263157894736842,0.4,0.875,0.421052631578947,0.266666666666667
"priming",6,222,0.969341165139833,0.7725,0.72,0.550899903556561,0.467084365694828,9,30,10,1,0.9,0.25,0.230769230769231,0.36734693877551,0.225,9,28,12,1,0.9,0.3,0.243243243243243,0.382978723404255,0.236842105263158,0.4,1,0.571428571428572,0.4
"priming",7,259,0.968586116405331,0.815,0.815,0.653687531234383,0.562212799455446,9,24,16,1,0.9,0.4,0.272727272727273,0.418604651162791,0.264705882352941,8,25,15,2,0.8,0.375,0.242424242424242,0.372093023255814,0.228571428571429,0.5,0.975,0.625,0.454545454545455
"priming",8,296,0.940130164275192,0.75,0.73,0.495374810130606,0.43972175075104,9,28,12,1,0.9,0.3,0.243243243243243,0.382978723404255,0.236842105263158,8,24,16,2,0.8,0.4,0.25,0.380952380952381,0.235294117647059,0.5,0.95,0.588235294117647,0.416666666666667
"priming",9,333,0.931149024054734,0.72,0.6575,0.477252209066163,0.410935848300972,9,28,12,1,0.9,0.3,0.243243243243243,0.382978723404255,0.236842105263158,9,30,10,1,0.9,0.25,0.230769230769231,0.36734693877551,0.225,0.4,0.925,0.470588235294118,0.307692307692308
"priming",10,370,0.970425036169133,0.82,0.7825,0.43289153001711,0.433515666097188,10,26,14,0,1,0.35,0.277777777777778,0.434782608695652,0.277777777777778,10,28,12,0,1,0.3,0.263157894736842,0.416666666666667,0.263157894736842,0.4,0.9,0.444444444444444,0.285714285714286
"plasticity",1,1037,0.974569404353011,1,0.8125,0.9,0.546480377821104,10,16,24,0,1,0.6,0.384615384615385,0.555555555555556,0.384615384615385,8,21,19,2,0.8,0.475,0.275862068965517,0.41025641025641,0.258064516129032,0.5,0.975,0.625,0.454545454545455
"plasticity",2,1074,0.987665387106635,1,0.8075,0.9,0.577910377213722,10,9,31,0,1,0.775,0.526315789473684,0.689655172413793,0.526315789473684,8,15,25,2,0.8,0.625,0.347826086956522,0.484848484848485,0.32,0.6,0.975,0.705882352941176,0.545454545454545
"plasticity",3,1111,0.943647319017515,1,0.88,0.9,0.658303651005857,10,18,22,0,1,0.55,0.357142857142857,0.526315789473684,0.357142857142857,9,20,20,1,0.9,0.5,0.310344827586207,0.461538461538462,0.3,0.6,0.925,0.631578947368421,0.461538461538462
"plasticity",4,1148,0.778635604298126,0.925,0.895,0.688709659905312,0.689210123210123,10,20,20,0,1,0.5,0.333333333333333,0.5,0.333333333333333,10,21,19,0,1,0.475,0.32258064516129,0.48780487804878,0.32258064516129,0.8,0.9,0.727272727272727,0.571428571428571
"plasticity",5,1185,0.892483772620967,1,0.9025,0.9,0.562310823754789,10,18,22,0,1,0.55,0.357142857142857,0.526315789473684,0.357142857142857,10,22,18,0,1,0.45,0.3125,0.476190476190476,0.3125,0.5,0.925,0.555555555555556,0.384615384615385
"plasticity",6,1222,0.614558345177827,0.8025,0.9025,0.514094763965696,0.674916832416833,9,22,18,1,0.9,0.45,0.290322580645161,0.439024390243902,0.28125,9,19,21,1,0.9,0.525,0.321428571428571,0.473684210526316,0.310344827586207,0.6,0.975,0.705882352941176,0.545454545454545
"plasticity",7,1259,0.761003672219256,0.9275,0.7775,0.703494621320708,0.628983831471187,10,28,12,0,1,0.3,0.263157894736842,0.416666666666667,0.263157894736842,8,20,20,2,0.8,0.5,0.285714285714286,0.421052631578947,0.266666666666667,0.5,0.95,0.588235294117647,0.416666666666667
"plasticity",8,1296,0.80404328313076,0.965,0.945,0.770651154401155,0.73656746031746,10,29,11,0,1,0.275,0.256410256410256,0.408163265306122,0.256410256410256,10,15,25,0,1,0.625,0.4,0.571428571428572,0.4,0.8,0.925,0.761904761904762,0.615384615384615
"plasticity",9,1333,0.81173257453751,0.9175,0.79,0.712430697957014,0.496323390779912,10,24,16,0,1,0.4,0.294117647058824,0.454545454545455,0.294117647058824,9,23,17,1,0.9,0.425,0.28125,0.428571428571429,0.272727272727273,0.6,0.975,0.705882352941176,0.545454545454545
